k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,1,0.2,0.005906674542232723,0.24615384615384617
6,6,2,0.3333333333333333,0.00767867690490254,0.29500000000000004
7,7,2,0.2857142857142857,0.00767867690490254,0.25
8,8,2,0.25,0.00767867690490254,0.23181114551083593
9,9,2,0.2222222222222222,0.00767867690490254,0.21362229102167182
10,10,3,0.3,0.026580035440047254,0.2130611455108359
11,11,3,0.2727272727272727,0.026580035440047254,0.26848249027237353
12,12,4,0.3333333333333333,0.0661547548730065,0.31079545454545454
13,13,5,0.38461538461538464,0.09273479031305375,0.4090909090909091
14,14,6,0.42857142857142855,0.1275841701122268,0.42822966507177035
15,15,7,0.4666666666666667,0.15652687536916715,0.4473684210526316
16,16,7,0.4375,0.15652687536916715,0.42822966507177035
17,17,7,0.4117647058823529,0.15652687536916715,0.4090909090909091
18,18,7,0.3888888888888889,0.15652687536916715,0.3822314049586777
19,19,8,0.42105263157894735,0.15652687536916715,0.4090909090909091
20,20,9,0.45,0.15652687536916715,0.42822966507177035
21,21,9,0.42857142857142855,0.15652687536916715,0.4090909090909091
22,22,10,0.45454545454545453,0.1748375664500886,0.42822966507177035
23,23,10,0.43478260869565216,0.1748375664500886,0.4117647058823529
24,24,11,0.4583333333333333,0.1748375664500886,0.4295665634674922
25,25,13,0.52,0.21382161842882458,0.5306122448979592
26,26,14,0.5384615384615384,0.23390431187241584,0.5761169332597904
27,27,15,0.5555555555555556,0.23390431187241584,0.6
28,28,16,0.5714285714285714,0.24571766095688127,0.6235294117647059
29,29,17,0.5862068965517241,0.2563496751329002,0.6470588235294118
30,30,18,0.6,0.2563496751329002,0.6985294117647058
