k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.22748815165876776
6,6,0,0.0,0.0,0.25264359471567627
7,7,1,0.14285714285714285,0.05700988947062245,0.24880382775119617
8,8,2,0.25,0.08784176847004072,0.27396059536735434
9,9,2,0.2222222222222222,0.08784176847004072,0.2743055555555556
10,10,3,0.3,0.10529377545084351,0.2787910030337505
11,11,3,0.2727272727272727,0.10529377545084351,0.2916666666666667
12,12,4,0.3333333333333333,0.14659685863874344,0.34526099781967423
13,13,4,0.3076923076923077,0.14659685863874344,0.3188405797101449
14,14,4,0.2857142857142857,0.14659685863874344,0.35250737463126847
15,15,5,0.3333333333333333,0.16812100058173357,0.37168141592920356
16,16,6,0.375,0.18557300756253636,0.4074074074074074
17,17,6,0.35294117647058826,0.18557300756253636,0.4074074074074074
18,18,6,0.3333333333333333,0.18557300756253636,0.4074074074074074
19,19,7,0.3684210526315789,0.21291448516579406,0.4084507042253521
20,20,8,0.4,0.26236183827806864,0.4101077050538525
21,21,8,0.38095238095238093,0.26236183827806864,0.4117647058823529
22,22,9,0.4090909090909091,0.27981384525887143,0.46331609566903686
23,23,10,0.43478260869565216,0.3240255962769052,0.47058823529411764
24,24,11,0.4583333333333333,0.33973240255962767,0.4852941176470588
25,25,12,0.48,0.387434554973822,0.5
26,26,13,0.5,0.4048865619546248,0.5264705882352941
27,27,13,0.48148148148148145,0.4048865619546248,0.5
28,28,13,0.4642857142857143,0.38627108784176845,0.5
29,29,14,0.4827586206896552,0.39790575916230364,0.5
30,30,15,0.5,0.4246655031995346,0.5264705882352941
