k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.19527896995708155
6,6,0,0.0,0.0,0.2086327198434822
7,7,0,0.0,0.0,0.2543352601156069
8,8,1,0.125,0.0017720023626698169,0.28989177987566195
9,9,1,0.1111111111111111,0.005906674542232723,0.18421052631578946
10,10,2,0.2,0.008269344359125812,0.19176639137030171
11,11,2,0.18181818181818182,0.005906674542232723,0.2807017543859649
12,12,2,0.16666666666666666,0.008269344359125812,0.3567022878863946
13,13,3,0.23076923076923078,0.05906674542232723,0.4142857142857143
14,14,4,0.2857142857142857,0.08446544595392794,0.3452532992762878
15,15,4,0.26666666666666666,0.0744240992321323,0.4
16,16,4,0.25,0.055522740696987594,0.34333694474539544
17,17,6,0.35294117647058826,0.12404016538688718,0.40298507462686567
18,18,8,0.4444444444444444,0.1748375664500886,0.44777960526315785
19,19,9,0.47368421052631576,0.2043709391612522,0.42857142857142855
20,20,8,0.4,0.1494388659184879,0.3135843484680694
21,21,8,0.38095238095238093,0.1512108682811577,0.43209876543209874
22,22,11,0.5,0.2049616066154755,0.5095693779904306
23,23,10,0.43478260869565216,0.1831069108092144,0.41379310344827586
24,24,12,0.5,0.23390431187241584,0.4803191489361702
25,25,14,0.56,0.2835203780271707,0.5172413793103449
26,26,13,0.5,0.24040165386887183,0.49275862068965515
27,27,14,0.5185185185185185,0.22681630242173656,0.5178571428571429
28,28,16,0.5714285714285714,0.238629651506202,0.6726190476190477
29,29,14,0.4827586206896552,0.24158298877731837,0.4642857142857143
30,30,16,0.5333333333333333,0.24276432368576492,0.5386904761904762
