cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,140,18,55,0.39285714285714285,26,25.1775,0.10882142857142857
1,144,12,124,0.8611111111111112,22,25.325,0.10875
2,199,22,27,0.135678391959799,3,25.9525,0.10451005025125629
3,146,19,60,0.410958904109589,25,25.305,0.10883561643835617
4,194,14,57,0.29381443298969073,18,25.9075,0.10525773195876291
5,111,18,25,0.22522522522522523,6,24.495,0.11454954954954957
6,150,17,63,0.42,25,25.4225,0.10871666666666666
7,78,5,74,0.9487179487179487,23,22.905,0.12054487179487179
8,57,6,47,0.8245614035087719,17,21.0825,0.1284210526315789
9,103,11,70,0.6796116504854369,8,24.19,0.11402912621359221
10,140,16,46,0.32857142857142857,11,25.16,0.10891071428571429
11,231,17,49,0.21212121212121213,10,26.22,0.10405844155844156
