k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.2625
6,6,1,0.16666666666666666,0.12202380952380952,0.28949074524295765
7,7,2,0.2857142857142857,0.18392857142857144,0.3972602739726027
8,8,2,0.25,0.17559523809523808,0.3028169014084507
9,9,2,0.2222222222222222,0.16904761904761906,0.3674698795180723
10,10,3,0.3,0.24761904761904763,0.3867753623188406
11,11,3,0.2727272727272727,0.22916666666666666,0.37888198757763975
12,12,4,0.3333333333333333,0.29285714285714287,0.4270416403342462
13,13,5,0.38461538461538464,0.30714285714285716,0.4274193548387097
14,14,5,0.35714285714285715,0.30178571428571427,0.39509803921568626
15,15,7,0.4666666666666667,0.4220238095238095,0.4358974358974359
16,16,8,0.5,0.4529761904761905,0.498918872167445
17,17,10,0.5882352941176471,0.5214285714285715,0.5526315789473685
18,18,10,0.5555555555555556,0.5541666666666667,0.5584183673469387
19,19,12,0.631578947368421,0.5821428571428572,0.6
20,20,12,0.6,0.5869047619047619,0.5884911003236246
21,21,12,0.5714285714285714,0.5613095238095238,0.6344086021505376
22,22,15,0.6818181818181818,0.6428571428571429,0.6836924868957484
23,23,14,0.6086956521739131,0.5726190476190476,0.6538461538461539
24,24,17,0.7083333333333334,0.6910714285714286,0.651665344964314
25,25,18,0.72,0.7476190476190476,0.696969696969697
26,26,18,0.6923076923076923,0.6958333333333333,0.7439890710382514
27,27,18,0.6666666666666666,0.6547619047619048,0.6923076923076923
28,28,18,0.6428571428571429,0.6244047619047619,0.6485507246376812
29,29,21,0.7241379310344828,0.7333333333333333,0.7608695652173914
30,30,20,0.6666666666666666,0.6767857142857143,0.7336719883889695
