cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,101,15,44,0.43564356435643564,17,24.055,0.11415841584158418
1,133,7,113,0.849624060150376,26,24.9675,0.10922932330827066
2,180,14,51,0.2833333333333333,10,25.7175,0.10524999999999998
3,145,14,118,0.8137931034482758,22,25.19,0.10977586206896552
4,182,23,26,0.14285714285714285,3,25.79,0.1064010989010989
5,113,12,57,0.504424778761062,11,24.56,0.11415929203539822
6,198,13,56,0.2828282828282828,18,25.975,0.10670454545454545
7,141,18,59,0.41843971631205673,25,25.2025,0.11097517730496455
8,101,12,71,0.7029702970297029,8,24.125,0.11413366336633665
9,180,17,69,0.38333333333333336,25,25.765,0.10668055555555554
10,97,16,46,0.4742268041237113,23,23.8,0.11551546391752578
11,109,19,25,0.22935779816513763,24,24.4125,0.11362385321100918
