k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.2573099415204678
6,6,1,0.16666666666666666,0.1066350710900474,0.2583333333333333
7,7,1,0.14285714285714285,0.09656398104265403,0.37037037037037035
8,8,1,0.125,0.09063981042654029,0.28199220134704006
9,9,3,0.3333333333333333,0.2221563981042654,0.32947976878612717
10,10,3,0.3,0.21386255924170616,0.3632307325220711
11,11,4,0.36363636363636365,0.245260663507109,0.391025641025641
12,12,5,0.4166666666666667,0.32582938388625593,0.39985569267515925
13,13,7,0.5384615384615384,0.42298578199052134,0.5238095238095238
14,14,7,0.5,0.4093601895734597,0.4859672569328433
15,15,8,0.5333333333333333,0.4514218009478673,0.6219512195121951
16,16,7,0.4375,0.3981042654028436,0.4504343382728666
17,17,8,0.47058823529411764,0.4555687203791469,0.4639175257731959
18,18,11,0.6111111111111112,0.5065165876777251,0.5953346855983772
19,19,11,0.5789473684210527,0.5313981042654028,0.6296296296296297
20,20,11,0.55,0.5355450236966824,0.5443570265870863
21,21,13,0.6190476190476191,0.5811611374407583,0.7692307692307693
22,22,14,0.6363636363636364,0.568127962085308,0.5995454545454546
23,23,17,0.7391304347826086,0.7482227488151659,0.7321428571428571
24,24,15,0.625,0.6338862559241706,0.6874257593755303
25,25,16,0.64,0.6729857819905213,0.6923076923076923
26,26,18,0.6923076923076923,0.715047393364929,0.7677247451343836
27,27,19,0.7037037037037037,0.7061611374407583,0.75
28,28,21,0.75,0.7541469194312796,0.7367527173913043
29,29,21,0.7241379310344828,0.7399289099526066,0.7948717948717948
30,30,21,0.7,0.6978672985781991,0.7106227106227105
