k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,2,0.4,0.18074424099232134,0.3488372093023256
6,6,3,0.5,0.2864737152982871,0.4626538987688098
7,7,4,0.5714285714285714,0.2864737152982871,0.5764705882352941
8,8,5,0.625,0.32486709982279977,0.5959276018099547
9,9,6,0.6666666666666666,0.3673951565268754,0.6153846153846154
10,10,7,0.7,0.3673951565268754,0.6100178890876565
11,11,7,0.6363636363636364,0.3673951565268754,0.6046511627906976
12,12,8,0.6666666666666666,0.3673951565268754,0.6148255813953488
13,13,9,0.6923076923076923,0.396928529238039,0.625
14,14,9,0.6428571428571429,0.34908446544595395,0.714487743557511
15,15,9,0.6,0.34908446544595395,0.6046511627906976
16,16,9,0.5625,0.325457767277023,0.7023255813953488
17,17,9,0.5294117647058824,0.325457767277023,0.6046511627906976
18,18,10,0.5555555555555556,0.34376845835794445,0.7023255813953488
19,19,10,0.5263157894736842,0.34376845835794445,0.6046511627906976
20,20,11,0.55,0.3538098050797401,0.7023255813953488
21,21,12,0.5714285714285714,0.36089781453041936,0.8
22,22,13,0.5909090909090909,0.36089781453041936,0.8121621621621622
23,23,15,0.6521739130434783,0.4087418783225044,0.8243243243243243
24,24,16,0.6666666666666666,0.4288245717660957,0.8679444750873322
25,25,17,0.68,0.4288245717660957,0.8243243243243243
26,26,19,0.7307692307692307,0.48789131718842293,0.8721621621621622
27,27,20,0.7407407407407407,0.5079740106320142,0.92
28,28,20,0.7142857142857143,0.5079740106320142,0.8721621621621622
29,29,21,0.7241379310344828,0.529238038984052,0.92
30,30,21,0.7,0.529238038984052,0.8721621621621622
