k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,1,0.2,0.08293838862559241,0.2932692307692308
6,6,2,0.3333333333333333,0.13151658767772512,0.24717809364548496
7,7,3,0.42857142857142855,0.22274881516587677,0.2932692307692308
8,8,4,0.5,0.28080568720379145,0.40637487512487513
9,9,5,0.5555555555555556,0.3169431279620853,0.5194805194805194
10,10,6,0.6,0.3453791469194313,0.5964749536178107
11,11,6,0.5454545454545454,0.3453791469194313,0.5194805194805194
12,12,7,0.5833333333333334,0.3684834123222749,0.5964749536178107
13,13,8,0.6153846153846154,0.43424170616113744,0.5765765765765766
14,14,10,0.7142857142857143,0.5082938388625592,0.6470795214637579
15,15,11,0.7333333333333333,0.5550947867298578,0.673469387755102
16,16,12,0.75,0.5793838862559242,0.7291397571686902
17,17,13,0.7647058823529411,0.5793838862559242,0.7848101265822784
18,18,13,0.7222222222222222,0.5485781990521327,0.8252408841866616
19,19,15,0.7894736842105263,0.6332938388625592,0.7848101265822784
20,20,16,0.8,0.6866113744075829,0.778119349005425
21,21,17,0.8095238095238095,0.6866113744075829,0.7848101265822784
22,22,17,0.7727272727272727,0.6605450236966824,0.778119349005425
23,23,17,0.7391304347826086,0.6605450236966824,0.7714285714285715
24,24,18,0.75,0.6605450236966824,0.8252408841866616
25,25,19,0.76,0.6889810426540285,0.7848101265822784
26,26,20,0.7692307692307693,0.6889810426540285,0.8252408841866616
27,27,21,0.7777777777777778,0.6889810426540285,0.8780487804878049
28,28,21,0.75,0.6700236966824644,0.9268292682926829
29,29,22,0.7586206896551724,0.683649289099526,0.9565217391304348
30,30,23,0.7666666666666667,0.7091232227488151,0.9550050556117291
