k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.18951612903225806
6,6,0,0.0,0.0,0.24775077348965968
7,7,1,0.14285714285714285,0.10868281157708211,0.245136186770428
8,8,1,0.125,0.09686946249261666,0.26436363636363636
9,9,3,0.3333333333333333,0.21382161842882458,0.2972972972972973
10,10,3,0.3,0.2043709391612522,0.42490968125485895
11,11,5,0.45454545454545453,0.32722976963969286,0.30994152046783624
12,12,5,0.4166666666666667,0.32132309509746015,0.4310897435897436
13,13,6,0.46153846153846156,0.3591258121677496,0.3602941176470588
14,14,7,0.5,0.38865918487891316,0.4661885245901639
15,15,8,0.5333333333333333,0.46839929119905493,0.55
16,16,9,0.5625,0.47844063792085056,0.5147157190635452
17,17,10,0.5882352941176471,0.5575900767867691,0.6
18,18,11,0.6111111111111112,0.5398700531600709,0.6272577996715928
19,19,12,0.631578947368421,0.6107501476668635,0.6309523809523809
20,20,13,0.65,0.6391021854695806,0.6508050603795285
21,21,15,0.7142857142857143,0.7282929710572947,0.6483516483516484
22,22,14,0.6363636363636364,0.6402835203780272,0.6326211568525273
23,23,16,0.6956521739130435,0.7147076196101595,0.8
24,24,16,0.6666666666666666,0.7023036030714708,0.7658789697424356
25,25,17,0.68,0.7099822799763733,0.7526881720430108
26,26,19,0.7307692307692307,0.7595983461311282,0.7119565217391304
27,27,19,0.7037037037037037,0.7389249852333136,0.7608695652173914
28,28,20,0.7142857142857143,0.7324276432368576,0.7681992337164751
29,29,22,0.7586206896551724,0.8021264028352038,0.75
30,30,24,0.8,0.8015357353809806,0.7698529411764705
