k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.18457943925233644
6,6,0,0.0,0.0,0.23892944038929442
7,7,1,0.14285714285714285,0.11018957345971564,0.24242424242424243
8,8,2,0.25,0.17772511848341233,0.29886363636363633
9,9,3,0.3333333333333333,0.21800947867298578,0.2803347280334728
10,10,4,0.4,0.2517772511848341,0.33077450032237266
11,11,5,0.45454545454545453,0.3222748815165877,0.4866666666666667
12,12,6,0.5,0.3613744075829384,0.45477261369315347
13,13,6,0.46153846153846156,0.3631516587677725,0.3984375
14,14,7,0.5,0.3975118483412322,0.5388239875389408
15,15,8,0.5333333333333333,0.490521327014218,0.5164835164835165
16,16,9,0.5625,0.504739336492891,0.5701034063260341
17,17,10,0.5882352941176471,0.518957345971564,0.6494845360824743
18,18,12,0.6666666666666666,0.6167061611374408,0.5522179155900087
19,19,10,0.5263157894736842,0.49703791469194314,0.5803571428571429
20,20,13,0.65,0.6540284360189573,0.6561791383219955
21,21,13,0.6190476190476191,0.6001184834123223,0.6122448979591837
22,22,14,0.6363636363636364,0.6433649289099526,0.6876598465473146
23,23,18,0.782608695652174,0.8092417061611374,0.7469879518072289
24,24,17,0.7083333333333334,0.7049763033175356,0.7236995059575705
25,25,19,0.76,0.7790284360189573,0.7311827956989247
26,26,18,0.6923076923076923,0.7482227488151659,0.6632302405498282
27,27,20,0.7407407407407407,0.7671800947867299,0.7741935483870968
28,28,20,0.7142857142857143,0.7582938388625592,0.7924132138857782
29,29,22,0.7586206896551724,0.7956161137440758,0.7906976744186046
30,30,22,0.7333333333333333,0.759478672985782,0.8417464114832536
