k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,1,0.2,0.08726003490401396,0.28040540540540543
6,6,2,0.3333333333333333,0.11460151250727167,0.2827147799973887
7,7,3,0.42857142857142855,0.20011634671320536,0.28502415458937197
8,8,3,0.375,0.20011634671320536,0.3268696191941273
9,9,4,0.4444444444444444,0.2286212914485166,0.3687150837988827
10,10,4,0.4,0.2286212914485166,0.378051235593135
11,11,6,0.5454545454545454,0.37230948225712623,0.5869565217391305
12,12,6,0.5,0.37230948225712623,0.5201449275362319
13,13,8,0.6153846153846154,0.4595695171611402,0.5918367346938775
14,14,10,0.7142857142857143,0.5241419429901105,0.6281079643664407
15,15,11,0.7333333333333333,0.5590459569517161,0.6231884057971014
16,16,11,0.6875,0.5590459569517161,0.6075125702454895
17,17,12,0.7058823529411765,0.5590459569517161,0.6231884057971014
18,18,13,0.7222222222222222,0.5863874345549738,0.6281079643664407
19,19,14,0.7368421052631579,0.6497963932518906,0.6231884057971014
20,20,14,0.7,0.6497963932518906,0.6075125702454895
21,21,14,0.6666666666666666,0.6497963932518906,0.5918367346938775
22,22,16,0.7272727272727273,0.7265852239674229,0.6281079643664407
23,23,16,0.6956521739130435,0.6835369400814427,0.6231884057971014
24,24,17,0.7083333333333334,0.6835369400814427,0.6315942028985507
25,25,19,0.76,0.7405468295520652,0.64
26,26,19,0.7307692307692307,0.7155322862129145,0.6673684210526316
27,27,20,0.7407407407407407,0.7155322862129145,0.7157894736842105
28,28,21,0.75,0.7486910994764397,0.7052631578947368
29,29,21,0.7241379310344828,0.7236765561372891,0.7157894736842105
30,30,21,0.7,0.7236765561372891,0.7052631578947368
