k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.26605504587155965
6,6,0,0.0,0.0,0.2071264179978483
7,7,0,0.0,0.0,0.3283582089552239
8,8,1,0.125,0.03721204961606615,0.2971249047981721
9,9,2,0.2222222222222222,0.057885410513880686,0.2662337662337662
10,10,3,0.3,0.19196692262256349,0.3688444535828107
11,11,5,0.45454545454545453,0.2587123449497933,0.41711229946524064
12,12,5,0.4166666666666667,0.18251624335499114,0.41383219954648526
13,13,6,0.46153846153846156,0.32722976963969286,0.43617021276595747
14,14,6,0.42857142857142855,0.30419373892498525,0.4186572793562987
15,15,8,0.5333333333333333,0.32309509746012993,0.671875
16,16,8,0.5,0.31010041346721795,0.5350582658502864
17,17,10,0.5882352941176471,0.3638511518015357,0.5652173913043478
18,18,9,0.5,0.3278204370939161,0.5277777777777778
19,19,11,0.5789473684210527,0.43354991139988186,0.5686274509803921
20,20,15,0.75,0.5014766686355582,0.6166666666666667
21,21,14,0.6666666666666666,0.46249261665682223,0.6666666666666666
22,22,13,0.5909090909090909,0.42350856467808623,0.7097902097902098
23,23,17,0.7391304347826086,0.5375073833431778,0.78125
24,24,17,0.7083333333333334,0.5918487891317188,0.6129225605370414
25,25,18,0.72,0.496751329001772,0.82
26,26,19,0.7307692307692307,0.5126993502658004,0.7676549865229111
27,27,20,0.7407407407407407,0.5823981098641465,0.7169811320754716
28,28,20,0.7142857142857143,0.5711754282339043,0.776912568306011
29,29,23,0.7931034482758621,0.6349675132900178,0.8275862068965517
30,30,21,0.7,0.5794447725930302,0.7233511586452763
