k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.23846153846153847
6,6,0,0.0,0.0,0.2636288998357964
7,7,1,0.14285714285714285,0.1128563118091914,0.2563291139240506
8,8,2,0.25,0.16230366492146597,0.2842682140554481
9,9,3,0.3333333333333333,0.18906340895869692,0.3058823529411765
10,10,3,0.3,0.17044793484584062,0.2900281369330743
11,11,4,0.36363636363636365,0.2675974403723095,0.328125
12,12,5,0.4166666666666667,0.2972658522396742,0.42142166344294
13,13,7,0.5384615384615384,0.39790575916230364,0.5232558139534884
14,14,5,0.35714285714285715,0.3019197207678883,0.47962144238739984
15,15,6,0.4,0.25072716695753344,0.45161290322580644
16,16,9,0.5625,0.45200698080279234,0.5152337858220211
17,17,12,0.7058823529411765,0.5747527632344386,0.6511627906976745
18,18,13,0.7222222222222222,0.639325189063409,0.6227776158554357
19,19,15,0.7894736842105263,0.7050610820244329,0.7215189873417721
20,20,12,0.6,0.4584060500290867,0.6348359350111501
21,21,14,0.6666666666666666,0.6061663757998836,0.6494845360824743
22,22,15,0.6818181818181818,0.6352530541012217,0.7485294117647059
23,23,16,0.6956521739130435,0.6800465386852821,0.6666666666666666
24,24,18,0.75,0.6887725421756835,0.7278456837280367
25,25,18,0.72,0.6893542757417103,0.7763157894736842
26,26,15,0.5769230769230769,0.5189063408958697,0.705091533180778
27,27,19,0.7037037037037037,0.670738801628854,0.7450980392156863
28,28,18,0.6428571428571429,0.6073298429319371,0.721604938271605
29,29,20,0.6896551724137931,0.6719022687609075,0.6756756756756757
30,30,20,0.6666666666666666,0.6608493310063991,0.6673669467787114
