cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,97,17,20,0.20618556701030927,9,23.9275,0.11427835051546392
1,217,13,59,0.271889400921659,18,26.11,0.10452764976958527
2,127,11,101,0.7952755905511811,26,24.8625,0.11183070866141734
3,131,13,83,0.6335877862595419,25,25.0175,0.11022900763358778
4,76,2,75,0.9868421052631579,23,22.7925,0.12049342105263157
5,129,6,117,0.9069767441860465,22,25.005,0.11054263565891471
6,186,20,32,0.17204301075268819,8,25.7825,0.10647849462365588
7,87,13,47,0.5402298850574713,17,23.48,0.11839080459770117
8,153,19,50,0.32679738562091504,6,25.51,0.10916666666666666
9,111,12,65,0.5855855855855856,8,24.535,0.11162162162162162
10,184,12,68,0.3695652173913043,10,25.8525,0.10665760869565219
11,94,12,68,0.723404255319149,11,23.745,0.11643617021276598
12,101,12,38,0.37623762376237624,24,24.1175,0.11450495049504951
