cluster,n,n_patients,top_n,top_share,top_patient,null_patients,null_share
0,220,13,64,0.2909090909090909,18,26.1275,0.10455681818181818
1,83,12,21,0.25301204819277107,6,23.2325,0.11771084337349398
2,98,17,22,0.22448979591836735,3,23.8275,0.11339285714285716
3,127,12,43,0.33858267716535434,1,24.7925,0.11253937007874015
4,120,11,82,0.6833333333333333,25,24.6425,0.11302083333333332
5,127,9,93,0.7322834645669292,26,24.8925,0.11049212598425197
6,107,12,64,0.5981308411214953,8,24.2125,0.11553738317757009
7,99,13,70,0.7070707070707071,11,24.1025,0.11464646464646464
8,84,15,28,0.3333333333333333,26,23.3,0.1187202380952381
9,84,11,47,0.5595238095238095,17,23.31,0.11892857142857143
10,125,6,116,0.928,22,24.7425,0.11372000000000002
11,123,7,67,0.5447154471544715,23,24.7275,0.11142276422764227
12,179,21,29,0.16201117318435754,25,25.81,0.1080586592178771
13,104,9,69,0.6634615384615384,10,24.19,0.11427884615384616
