k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.23278688524590163
6,6,0,0.0,0.0,0.24217960154623847
7,7,1,0.14285714285714285,0.06279620853080568,0.26737967914438504
8,8,1,0.125,0.07523696682464455,0.30113541142952904
9,9,3,0.3333333333333333,0.2725118483412322,0.37777777777777777
10,10,2,0.2,0.14869668246445497,0.41691995947315097
11,11,5,0.45454545454545453,0.3264218009478673,0.44387755102040816
12,12,5,0.4166666666666667,0.33649289099526064,0.4897959183673469
13,13,7,0.5384615384615384,0.44786729857819907,0.5271317829457365
14,14,7,0.5,0.41706161137440756,0.507949824224992
15,15,8,0.5333333333333333,0.4881516587677725,0.5802469135802469
16,16,8,0.5,0.4721563981042654,0.5036194727634675
17,17,11,0.6470588235294118,0.5989336492890995,0.671875
18,18,10,0.5555555555555556,0.5313981042654028,0.6792452830188679
19,19,12,0.631578947368421,0.5859004739336493,0.6785714285714286
20,20,14,0.7,0.7186018957345972,0.68004569687738
21,21,15,0.7142857142857143,0.7411137440758294,0.6067415730337079
22,22,15,0.6818181818181818,0.7274881516587678,0.6980392156862745
23,23,17,0.7391304347826086,0.731042654028436,0.7317073170731707
24,24,16,0.6666666666666666,0.6996445497630331,0.6428276147168251
25,25,19,0.76,0.7754739336492891,0.7922077922077922
26,26,19,0.7307692307692307,0.783175355450237,0.8218843843843844
27,27,19,0.7037037037037037,0.7511848341232228,0.7727272727272727
28,28,21,0.75,0.792654028436019,0.8476315789473684
29,29,20,0.6896551724137931,0.7304502369668247,0.7804878048780488
30,30,23,0.7666666666666667,0.784952606635071,0.858041958041958
