k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.23728813559322035
6,6,1,0.16666666666666666,0.021264028352037802,0.25314699177321837
7,7,1,0.14285714285714285,0.021264028352037802,0.3716216216216216
8,8,3,0.375,0.10868281157708211,0.4206797706797707
9,9,3,0.3333333333333333,0.10868281157708211,0.39090909090909093
10,10,3,0.3,0.10868281157708211,0.3866310160427807
11,11,4,0.36363636363636365,0.10868281157708211,0.39090909090909093
12,12,5,0.4166666666666667,0.12344949793266391,0.4206797706797707
13,13,5,0.38461538461538464,0.12344949793266391,0.4263565891472868
14,14,5,0.35714285714285715,0.12344949793266391,0.45522522522522524
15,15,7,0.4666666666666667,0.2238629651506202,0.4788732394366197
16,16,9,0.5625,0.28942705256940343,0.5718446601941747
17,17,10,0.5882352941176471,0.28942705256940343,0.6
18,18,11,0.6111111111111112,0.28942705256940343,0.6891891891891893
19,19,12,0.631578947368421,0.3219137625516834,0.7027027027027027
20,20,13,0.65,0.3290017720023627,0.714254577157803
21,21,15,0.7142857142857143,0.4051978735971648,0.7258064516129032
22,22,16,0.7272727272727273,0.43354991139988186,0.7379032258064516
23,23,16,0.6956521739130435,0.43354991139988186,0.7258064516129032
24,24,17,0.7083333333333334,0.43354991139988186,0.7840909090909092
25,25,17,0.68,0.41701122268163027,0.8181818181818182
26,26,18,0.6923076923076923,0.46249261665682223,0.8387784090909092
27,27,19,0.7037037037037037,0.5008860011813349,0.8181818181818182
28,28,19,0.6785714285714286,0.4920259893679858,0.8387784090909092
29,29,20,0.6896551724137931,0.4926166568222091,0.859375
30,30,20,0.6666666666666666,0.48670998227997636,0.9079483695652174
