k,n_clusters,n_dominated,frac_clusters,frac_electrodes,median_share
5,5,0,0.0,0.0,0.26461538461538464
6,6,2,0.3333333333333333,0.16230366492146597,0.3036560069144339
7,7,2,0.2857142857142857,0.16230366492146597,0.26461538461538464
8,8,3,0.375,0.2152414194299011,0.3095596967205627
9,9,4,0.4444444444444444,0.2152414194299011,0.34269662921348315
10,10,4,0.4,0.2152414194299011,0.3917784221336233
11,11,4,0.36363636363636365,0.2152414194299011,0.44086021505376344
12,12,5,0.4166666666666667,0.25654450261780104,0.4183296935010167
13,13,6,0.46153846153846156,0.3089005235602094,0.4897959183673469
14,14,7,0.5,0.3449680046538685,0.500453514739229
15,15,8,0.5333333333333333,0.36940081442699246,0.5111111111111111
16,16,9,0.5625,0.41244909831297266,0.554213273676361
17,17,10,0.5882352941176471,0.44618964514252474,0.5973154362416108
18,18,11,0.6111111111111112,0.4665503199534613,0.7625131398075524
19,19,12,0.631578947368421,0.4944735311227458,0.927710843373494
20,20,13,0.65,0.5311227457824317,0.7625131398075524
21,21,15,0.7142857142857143,0.6346713205351949,0.5973154362416108
22,22,16,0.7272727272727273,0.6719022687609075,0.6580327181208054
23,23,17,0.7391304347826086,0.6719022687609075,0.6153846153846154
24,24,18,0.75,0.7097149505526469,0.6670673076923077
25,25,19,0.76,0.7242582897033158,0.71875
26,26,20,0.7692307692307693,0.7643979057591623,0.7579257246376812
27,27,21,0.7777777777777778,0.7643979057591623,0.8840579710144928
28,28,23,0.8214285714285714,0.8109365910413031,0.8566631318487098
29,29,23,0.7931034482758621,0.7853403141361257,0.8840579710144928
30,30,24,0.8,0.8307155322862129,0.8566631318487098
