half,block_position,reference_cluster,solution,jaccard,others_best
feature_set,0,2,HG,0.0884,0.6296
feature_set,0,2,15 bands,0.6567,0.6296
feature_set,0,2,5 bands,1.0,0.6296
feature_set,0,2,"5 bands, z",0.6988,0.6296
feature_set,1,4,HG,0.0892,0.477
feature_set,1,4,15 bands,0.4333,0.477
feature_set,1,4,5 bands,1.0,0.477
feature_set,1,4,"5 bands, z",0.4205,0.477
feature_set,2,6,HG,0.5321,0.6923
feature_set,2,6,15 bands,0.7566,0.6923
feature_set,2,6,5 bands,1.0,0.6923
feature_set,2,6,"5 bands, z",0.7118,0.6923
feature_set,3,3,HG,0.1157,0.4072
feature_set,3,3,15 bands,0.5938,0.4072
feature_set,3,3,5 bands,1.0,0.4072
feature_set,3,3,"5 bands, z",0.4257,0.4072
feature_set,4,5,HG,0.1782,0.1541
feature_set,4,5,15 bands,0.1581,0.1541
feature_set,4,5,5 bands,1.0,0.1541
feature_set,4,5,"5 bands, z",0.4404,0.1541
feature_set,5,1,HG,0.3201,0.4144
feature_set,5,1,15 bands,0.7906,0.4144
feature_set,5,1,5 bands,1.0,0.4144
feature_set,5,1,"5 bands, z",0.3864,0.4144
feature_set,6,0,HG,0.3133,0.2776
feature_set,6,0,15 bands,0.5721,0.2776
feature_set,6,0,5 bands,1.0,0.2776
feature_set,6,0,"5 bands, z",0.2657,0.2776
feature_set,7,7,HG,0.1405,0.1492
feature_set,7,7,15 bands,0.7377,0.1492
feature_set,7,7,5 bands,1.0,0.1492
feature_set,7,7,"5 bands, z",0.0272,0.1492
algorithm,0,6,convex NMF,1.0,0.3345
algorithm,0,6,k-means,0.2886,0.3345
algorithm,0,6,Ward,0.2235,0.3345
algorithm,0,6,archetypes,0.6595,0.3345
algorithm,1,7,convex NMF,1.0,0.4878
algorithm,1,7,k-means,0.4458,0.4878
algorithm,1,7,Ward,0.3719,0.4878
algorithm,1,7,archetypes,0.6757,0.4878
algorithm,2,3,convex NMF,1.0,0.7219
algorithm,2,3,k-means,0.6933,0.7219
algorithm,2,3,Ward,0.5398,0.7219
algorithm,2,3,archetypes,0.7977,0.7219
algorithm,3,2,convex NMF,1.0,0.7163
algorithm,3,2,k-means,0.5241,0.7163
algorithm,3,2,Ward,0.3421,0.7163
algorithm,3,2,archetypes,0.6116,0.7163
algorithm,4,0,convex NMF,1.0,0.2492
algorithm,4,0,k-means,0.2145,0.2492
algorithm,4,0,Ward,0.0,0.2492
algorithm,4,0,archetypes,0.6967,0.2492
algorithm,5,5,convex NMF,1.0,0.7442
algorithm,5,5,k-means,0.4286,0.7442
algorithm,5,5,Ward,0.3933,0.7442
algorithm,5,5,archetypes,0.7391,0.7442
algorithm,6,1,convex NMF,1.0,0.5071
algorithm,6,1,k-means,0.2922,0.5071
algorithm,6,1,Ward,0.1806,0.5071
algorithm,6,1,archetypes,0.5825,0.5071
algorithm,7,4,convex NMF,1.0,0.6798
algorithm,7,4,k-means,0.5967,0.6798
algorithm,7,4,Ward,0.6448,0.6798
algorithm,7,4,archetypes,0.8107,0.6798
