half,block_position,reference_cluster,solution,jaccard,others_best
feature_set,0,4,HG,0.413,0.5473
feature_set,0,4,15 bands,0.6381,0.5473
feature_set,0,4,5 bands,1.0,0.5473
feature_set,0,4,"5 bands, z",0.5866,0.5473
feature_set,1,7,HG,0.2589,0.4752
feature_set,1,7,15 bands,0.4306,0.4752
feature_set,1,7,5 bands,1.0,0.4752
feature_set,1,7,"5 bands, z",0.362,0.4752
feature_set,2,2,HG,0.4722,0.6895
feature_set,2,2,15 bands,0.7361,0.6895
feature_set,2,2,5 bands,1.0,0.6895
feature_set,2,2,"5 bands, z",0.7797,0.6895
feature_set,3,0,HG,0.0978,0.3258
feature_set,3,0,15 bands,0.5798,0.3258
feature_set,3,0,5 bands,1.0,0.3258
feature_set,3,0,"5 bands, z",0.3087,0.3258
feature_set,4,6,HG,0.1753,0.2614
feature_set,4,6,15 bands,0.1905,0.2614
feature_set,4,6,5 bands,1.0,0.2614
feature_set,4,6,"5 bands, z",0.2596,0.2614
feature_set,5,5,HG,0.3974,0.526
feature_set,5,5,15 bands,0.7415,0.526
feature_set,5,5,5 bands,1.0,0.526
feature_set,5,5,"5 bands, z",0.5088,0.526
feature_set,6,1,HG,0.3241,0.4074
feature_set,6,1,15 bands,0.5869,0.4074
feature_set,6,1,5 bands,1.0,0.4074
feature_set,6,1,"5 bands, z",0.4925,0.4074
feature_set,7,3,HG,0.074,0.2299
feature_set,7,3,15 bands,0.6759,0.2299
feature_set,7,3,5 bands,1.0,0.2299
feature_set,7,3,"5 bands, z",0.2199,0.2299
algorithm,0,2,convex NMF,1.0,0.1307
algorithm,0,2,k-means,0.5889,0.1307
algorithm,0,2,Ward,0.0747,0.1307
algorithm,1,5,convex NMF,1.0,0.5575
algorithm,1,5,k-means,0.7,0.5575
algorithm,1,5,Ward,0.5284,0.5575
algorithm,2,3,convex NMF,1.0,0.6981
algorithm,2,3,k-means,0.7879,0.6981
algorithm,2,3,Ward,0.6288,0.6981
algorithm,3,7,convex NMF,1.0,0.4581
algorithm,3,7,k-means,0.5508,0.4581
algorithm,3,7,Ward,0.3119,0.4581
algorithm,4,6,convex NMF,1.0,0.3272
algorithm,4,6,k-means,0.6578,0.3272
algorithm,4,6,Ward,0.2405,0.3272
algorithm,5,1,convex NMF,1.0,0.4335
algorithm,5,1,k-means,0.75,0.4335
algorithm,5,1,Ward,0.358,0.4335
algorithm,6,0,convex NMF,1.0,0.2284
algorithm,6,0,k-means,0.5598,0.2284
algorithm,6,0,Ward,0.2303,0.2284
algorithm,7,4,convex NMF,1.0,0.6517
algorithm,7,4,k-means,0.6952,0.6517
algorithm,7,4,Ward,0.6344,0.6517
