,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,11.0,5.0,15.0,0.0,53.0,39.0,22.0,11.0,1.0,17.0
s1_c1,28.0,13.0,2.0,9.0,1.0,35.0,22.0,32.0,8.0,39.0
s1_c2,13.0,1.0,7.0,1.0,67.0,22.0,3.0,7.0,0.0,11.0
s1_c3,186.0,17.0,5.0,7.0,3.0,53.0,12.0,18.0,9.0,3.0
s1_c4,6.0,3.0,7.0,0.0,1.0,14.0,6.0,3.0,57.0,11.0
s1_c5,19.0,10.0,44.0,0.0,7.0,22.0,9.0,16.0,6.0,12.0
s1_c6,1.0,1.0,1.0,4.0,114.0,15.0,5.0,4.0,0.0,5.0
s1_c7,23.0,61.0,2.0,3.0,14.0,38.0,5.0,6.0,0.0,4.0
s1_c8,3.0,0.0,0.0,84.0,2.0,2.0,1.0,2.0,0.0,0.0
s1_c9,4.0,4.0,23.0,0.0,4.0,17.0,9.0,18.0,4.0,80.0
