,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,7.0,13.0,0.0,13.0,38.0,11.0,50.0,0.0,29.0,13.0
s1_c1,5.0,41.0,32.0,11.0,27.0,44.0,2.0,9.0,4.0,14.0
s1_c2,12.0,6.0,0.0,15.0,26.0,9.0,58.0,4.0,2.0,0.0
s1_c3,8.0,19.0,91.0,123.0,29.0,6.0,6.0,16.0,12.0,3.0
s1_c4,6.0,6.0,2.0,1.0,10.0,10.0,1.0,0.0,10.0,62.0
s1_c5,68.0,18.0,0.0,8.0,19.0,18.0,6.0,0.0,2.0,6.0
s1_c6,1.0,2.0,0.0,1.0,13.0,6.0,115.0,9.0,0.0,3.0
s1_c7,1.0,68.0,23.0,6.0,32.0,2.0,14.0,3.0,4.0,3.0
s1_c8,0.0,1.0,1.0,1.0,3.0,0.0,2.0,85.0,1.0,0.0
s1_c9,20.0,10.0,5.0,2.0,10.0,78.0,2.0,2.0,24.0,10.0
