,s2_c0,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_c6,s2_c7,s2_c8,s2_c9
s1_c0,0.0,0.0,3.0,0.0,42.0,0.0,3.0,112.0,9.0,8.0
s1_c1,0.0,19.0,7.0,5.0,149.0,0.0,18.0,28.0,2.0,1.0
s1_c2,148.0,0.0,19.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0
s1_c3,15.0,3.0,13.0,1.0,3.0,0.0,0.0,19.0,1.0,68.0
s1_c4,0.0,10.0,147.0,7.0,0.0,0.0,8.0,30.0,0.0,0.0
s1_c5,0.0,7.0,3.0,96.0,47.0,0.0,6.0,0.0,0.0,29.0
s1_c6,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,60.0,1.0
s1_c7,16.0,0.0,4.0,0.0,8.0,0.0,66.0,4.0,0.0,25.0
s1_c8,0.0,229.0,13.0,5.0,32.0,0.0,6.0,7.0,0.0,5.0
s1_c9,1.0,0.0,0.0,0.0,11.0,45.0,14.0,20.0,1.0,0.0
