comparison,axis,rank,weighting,cluster_1,cluster_2,r_centred,r_plain,overlap,n_1,n_2,null_plain_mean,null_plain_sd,z_plain,p_plain,null_within_mean,null_within_sd,z_within,p_within
cnmf_vs_kmeans_concat_hg,A algorithms,1,hard,5,7,0.9535638504662385,0.933011047605583,0.6752136752136753,189.0,203.0,0.06832947261376679,0.017239655029108947,35.20280432382155,0.000999000999000999,0.21051186193030333,0.014767942469190063,31.466930092182174,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,2,hard,3,6,0.9376578081795937,0.6453805885283512,0.44805194805194803,148.0,75.0,0.058618457735542806,0.015382140662913204,25.31724932507872,0.000999000999000999,0.29020227433153856,0.012002056378817984,13.151885705102412,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,3,hard,6,3,0.9367786807835111,0.9787835527893431,0.5560640732265446,357.0,323.0,0.08461894467186949,0.024478021771679646,19.259935829460016,0.000999000999000999,0.25481132214648544,0.013075905820936687,23.038767272069496,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,4,hard,7,1,0.9165846244541054,0.875792732259768,0.48627450980392156,206.0,173.0,0.06921607521698325,0.017869227860435048,23.339477108037983,0.000999000999000999,0.22636834678640394,0.018633171473446654,13.9485735634376,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,5,hard,0,8,0.913596085873682,0.7548810596447042,0.5504201680672269,185.0,184.0,0.0636493978795322,0.017817533063298557,27.31976241931996,0.000999000999000999,0.10580896294893939,0.026474371967177186,16.79402275036079,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,6,hard,2,5,0.8102420008589009,0.6942297324586267,0.39790575916230364,140.0,127.0,0.053830392740706896,0.015258205530125371,22.550185586520254,0.000999000999000999,0.1299648469595254,0.017338555129359237,15.453474075765175,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,7,hard,1,0,0.7810269441648094,0.8444867266230663,0.3896551724137931,165.0,238.0,0.061794276202617085,0.01586786623158891,20.661939760904204,0.000999000999000999,0.13692583382834642,0.012872714852081413,19.63294778836668,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,8,hard,4,4,0.7702726226164778,0.9284349061274331,0.32802547770700635,180.0,237.0,0.06387217950018897,0.01666779800695677,15.848122115264754,0.000999000999000999,0.16608300165491885,0.012430651667232027,13.027673881247752,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,9,hard,8,2,0.0718866596476217,0.5370293363704398,0.0,110.0,120.0,0.049019437471259086,0.013451237389310375,-3.6442325752286973,1.0,0.01616391611816357,0.013804839019200816,-1.170887693487883,1.0
cnmf_vs_kmeans_concat_hg,A algorithms,1,weighted,5,7,0.9535638504662385,0.933011047605583,0.24528749860189852,175.23667642174536,203.0,0.06079209540982328,0.011935557398457187,15.457627744802558,0.000999000999000999,0.1194494780622884,0.004997036857018462,25.182527994138667,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,2,weighted,3,6,0.9376578081795937,0.6453805885283512,0.15156918108614847,202.29777490473555,75.0,0.06360455692770388,0.014083176598640907,6.246078329155767,0.000999000999000999,0.11917499957516717,0.002373667376804548,13.647312941795004,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,3,weighted,6,3,0.9367786807835111,0.9787835527893431,0.2314466290399518,234.3499499010714,323.0,0.0677172204954977,0.01605985844563642,10.194947178313429,0.000999000999000999,0.14548627733652375,0.003998850385753268,21.496266029276715,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,4,weighted,7,1,0.9165846244541054,0.875792732259768,0.20619247084936654,185.19205203139686,173.0,0.06047372254160739,0.013170241503987762,11.064242691649776,0.000999000999000999,0.1254524626479009,0.006013665209920322,13.426089644677013,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,5,weighted,0,8,0.913596085873682,0.7548810596447042,0.18943908984414945,189.87921933272654,184.0,0.06027184022642018,0.01363582716608555,9.472637636460263,0.000999000999000999,0.07471449072498504,0.012044167133997499,9.525324403322768,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,6,weighted,2,5,0.8102420008589009,0.6942297324586267,0.143360879410649,186.9730155067079,127.0,0.06007212734953658,0.013083740506938895,6.365821151599626,0.000999000999000999,0.08148798232744107,0.004042113045972341,15.307067461871107,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,7,weighted,1,0,0.7810269441648094,0.8444867266230663,0.16893549602844946,174.65444254523328,238.0,0.05923381764797336,0.012272113195719433,8.939102551526377,0.000999000999000999,0.08802305923318512,0.00432554232560704,18.705732300032274,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,8,weighted,4,4,0.7702726226164778,0.9284349061274331,0.15009580913912224,163.8992768721488,237.0,0.057077568614411905,0.01171310295202457,7.941383329908532,0.000999000999000999,0.10067457644222784,0.0036702227700423184,13.465458582048022,0.000999000999000999
cnmf_vs_kmeans_concat_hg,A algorithms,9,weighted,8,2,0.0718866596476217,0.5370293363704398,0.02243199509404961,167.5175924842343,120.0,0.05819788719206016,0.011533739859538416,-3.1009796070987434,1.0,0.035079792656546635,0.008235688785737865,-1.5357303914154476,1.0
cnmf_vs_hierarchical_concat_hg,A algorithms,1,hard,5,3,0.9567940094186035,0.9131671324067241,0.49261083743842365,189.0,114.0,0.06686689454165352,0.01884066412908129,22.59707725693268,0.000999000999000999,0.13725985783308994,0.01523206127117681,23.32914589030403,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,2,hard,7,0,0.9340827650126082,0.8810239572114549,0.49034749034749037,206.0,180.0,0.07018023819865374,0.02025873903050972,20.740049591243736,0.000999000999000999,0.24693769031638457,0.016286521372410448,14.94547512419962,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,3,hard,6,1,0.9323495827731112,0.9757787155901483,0.5508684863523573,357.0,268.0,0.08432735090702656,0.028232232550866862,16.525123707618572,0.000999000999000999,0.24169064782527067,0.01379064996958593,22.419381190078152,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,4,hard,3,5,0.9131794749028808,0.5817883551968697,0.30405405405405406,148.0,45.0,0.05750822265663716,0.017002301157720348,14.500733113144875,0.000999000999000999,0.30405405405405406,0.0,,1.0
cnmf_vs_hierarchical_concat_hg,A algorithms,5,hard,0,7,0.8728834763258977,0.85455959886145,0.3612040133779264,185.0,222.0,0.06314032082905281,0.019453519723026905,15.321838761962397,0.000999000999000999,0.11376773427945198,0.023861718664218337,10.369591670256161,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,6,hard,4,2,0.8436247782438855,0.9595484025263498,0.41134751773049644,180.0,218.0,0.06341455703668121,0.018581382835079943,18.72481525093761,0.000999000999000999,0.25180223692333087,0.014280091189324412,11.172567366127137,0.000999000999000999
cnmf_vs_hierarchical_concat_hg,A algorithms,7,hard,1,4,0.7877729442033895,0.8629774257071244,0.3313953488372093,165.0,293.0,0.06099271423555111,0.01769615544896185,15.280303983627213,0.000999000999000999,0.10863643497782924,0.01573212209763249,14.159495615210282,0.000999000999000999
