method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,95,5.654761904761905,95,0,0.0
kmeans,k-means,1,146,8.69047619047619,146,0,0.0
kmeans,k-means,2,212,12.619047619047619,212,0,0.0
kmeans,k-means,3,161,9.583333333333334,161,0,0.0
kmeans,k-means,4,119,7.083333333333333,119,0,0.0
kmeans,k-means,5,78,4.642857142857143,78,0,0.0
kmeans,k-means,6,193,11.488095238095237,193,0,0.0
kmeans,k-means,7,140,8.333333333333332,140,0,0.0
kmeans,k-means,8,147,8.75,147,0,0.0
kmeans,k-means,9,52,3.0952380952380953,52,0,0.0
kmeans,k-means,10,93,5.535714285714286,93,0,0.0
kmeans,k-means,11,149,8.869047619047619,149,0,0.0
kmeans,k-means,12,95,5.654761904761905,95,0,0.0
hierarchical,Ward,0,43,2.5595238095238093,43,0,0.0
hierarchical,Ward,1,105,6.25,105,0,0.0
hierarchical,Ward,2,89,5.2976190476190474,89,0,0.0
hierarchical,Ward,3,131,7.7976190476190474,131,0,0.0
hierarchical,Ward,4,254,15.119047619047619,254,0,0.0
hierarchical,Ward,5,82,4.880952380952381,82,0,0.0
hierarchical,Ward,6,147,8.75,147,0,0.0
hierarchical,Ward,7,47,2.797619047619048,47,0,0.0
hierarchical,Ward,8,111,6.607142857142858,111,0,0.0
hierarchical,Ward,9,208,12.380952380952381,208,0,0.0
hierarchical,Ward,10,201,11.964285714285715,201,0,0.0
hierarchical,Ward,11,56,3.3333333333333335,56,0,0.0
hierarchical,Ward,12,206,12.261904761904761,206,0,0.0
cnmf,convex NMF,0,100,5.952380952380952,100,0,0.0
cnmf,convex NMF,1,179,10.654761904761905,179,0,0.0
cnmf,convex NMF,2,177,10.535714285714286,177,0,0.0
cnmf,convex NMF,3,142,8.452380952380953,142,0,0.0
cnmf,convex NMF,4,126,7.5,126,0,0.0
cnmf,convex NMF,5,83,4.940476190476191,83,0,0.0
cnmf,convex NMF,6,128,7.6190476190476195,128,0,0.0
cnmf,convex NMF,7,147,8.75,147,0,0.0
cnmf,convex NMF,8,115,6.845238095238096,115,0,0.0
cnmf,convex NMF,9,212,12.619047619047619,212,0,0.0
cnmf,convex NMF,10,90,5.357142857142857,90,0,0.0
cnmf,convex NMF,11,54,3.214285714285714,54,0,0.0
cnmf,convex NMF,12,127,7.559523809523809,127,0,0.0
