method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,119,7.083333333333333,119,0,0.0
kmeans,k-means,1,89,5.2976190476190474,89,0,0.0
kmeans,k-means,2,169,10.05952380952381,169,0,0.0
kmeans,k-means,3,228,13.571428571428571,228,0,0.0
kmeans,k-means,4,97,5.773809523809524,97,0,0.0
kmeans,k-means,5,44,2.619047619047619,44,0,0.0
kmeans,k-means,6,82,4.880952380952381,82,0,0.0
kmeans,k-means,7,127,7.559523809523809,127,0,0.0
kmeans,k-means,8,140,8.333333333333332,140,0,0.0
kmeans,k-means,9,134,7.976190476190475,134,0,0.0
kmeans,k-means,10,144,8.571428571428571,144,0,0.0
kmeans,k-means,11,56,3.3333333333333335,56,0,0.0
kmeans,k-means,12,85,5.059523809523809,85,0,0.0
kmeans,k-means,13,166,9.880952380952381,166,0,0.0
hierarchical,Ward,0,192,11.428571428571429,192,0,0.0
hierarchical,Ward,1,47,2.797619047619048,47,0,0.0
hierarchical,Ward,2,81,4.821428571428572,81,0,0.0
hierarchical,Ward,3,162,9.642857142857144,162,0,0.0
hierarchical,Ward,4,83,4.940476190476191,83,0,0.0
hierarchical,Ward,5,77,4.583333333333333,77,0,0.0
hierarchical,Ward,6,131,7.7976190476190474,131,0,0.0
hierarchical,Ward,7,114,6.785714285714286,114,0,0.0
hierarchical,Ward,8,58,3.4523809523809526,58,0,0.0
hierarchical,Ward,9,153,9.107142857142856,153,0,0.0
hierarchical,Ward,10,78,4.642857142857143,78,0,0.0
hierarchical,Ward,11,228,13.571428571428571,228,0,0.0
hierarchical,Ward,12,70,4.166666666666666,70,0,0.0
hierarchical,Ward,13,206,12.261904761904761,206,0,0.0
cnmf,convex NMF,0,220,13.095238095238097,220,0,0.0
cnmf,convex NMF,1,83,4.940476190476191,83,0,0.0
cnmf,convex NMF,2,98,5.833333333333333,98,0,0.0
cnmf,convex NMF,3,127,7.559523809523809,127,0,0.0
cnmf,convex NMF,4,120,7.142857142857142,120,0,0.0
cnmf,convex NMF,5,127,7.559523809523809,127,0,0.0
cnmf,convex NMF,6,107,6.369047619047619,107,0,0.0
cnmf,convex NMF,7,99,5.892857142857142,99,0,0.0
cnmf,convex NMF,8,84,5.0,84,0,0.0
cnmf,convex NMF,9,84,5.0,84,0,0.0
cnmf,convex NMF,10,125,7.440476190476191,125,0,0.0
cnmf,convex NMF,11,123,7.321428571428572,123,0,0.0
cnmf,convex NMF,12,179,10.654761904761905,179,0,0.0
cnmf,convex NMF,13,104,6.190476190476191,104,0,0.0
