method,group,n_left_out,ari,degenerate
kmeans,EL030,77,0.7195685862309146,False
kmeans,EL033,74,0.7032935904948214,False
kmeans,EL034,55,0.6847025747513956,False
kmeans,EL035,40,0.6233667627236024,False
kmeans,EL036,26,0.6893108652995656,False
kmeans,EL037,51,0.7809240061973098,False
kmeans,EL038,72,0.6247325858195906,False
kmeans,EL040,30,0.6547296587270797,False
kmeans,EL042,103,0.697978130009545,False
kmeans,EL043,74,0.5688193976373039,False
kmeans,EL045,81,0.6595496587001828,False
kmeans,EL046,86,0.6813527549944366,False
kmeans,EL048,15,0.7074607546714187,False
kmeans,PAT_2868,6,0.5948536951560154,False
kmeans,PAT_3066,28,0.7090275840144856,False
kmeans,PAT_3390,18,0.8171815609022425,False
kmeans,PAT_3455,36,0.7181241650203505,False
kmeans,PAT_3780,47,0.6127026909880604,False
kmeans,PAT_3965,80,0.7697437016321247,False
kmeans,PAT_3975,67,0.679352734385952,False
kmeans,PAT_5515,12,0.6589788780146367,False
kmeans,PAT_5533,41,0.6365280677770245,False
kmeans,PAT_6619,144,0.7808326464489534,False
kmeans,PAT_6684,77,0.7985013816204007,False
kmeans,PAT_6704,46,0.5500129868646907,False
kmeans,PAT_6854,146,0.6039299081240174,False
kmeans,PAT_6953,156,0.7644164702228545,False
hierarchical,EL030,77,0.8427462628589256,False
hierarchical,EL033,74,0.67679022756339,False
hierarchical,EL034,55,0.5923145050374304,False
hierarchical,EL035,40,0.6071765157338298,False
hierarchical,EL036,26,0.7383707159320417,False
hierarchical,EL037,51,0.5349324528721252,False
hierarchical,EL038,72,0.6582349500970425,False
hierarchical,EL040,30,0.6283300697135225,False
hierarchical,EL042,103,0.6062477048685503,False
hierarchical,EL043,74,0.6455693756709796,False
hierarchical,EL045,81,0.5805279340134063,False
hierarchical,EL046,86,0.5688560921282597,False
hierarchical,EL048,15,0.6182168520226435,False
hierarchical,PAT_2868,6,0.6856618957132503,False
hierarchical,PAT_3066,28,0.7371667274553739,False
hierarchical,PAT_3390,18,0.6180522049971082,False
hierarchical,PAT_3455,36,0.6643676621095701,False
hierarchical,PAT_3780,47,0.963145341563084,False
hierarchical,PAT_3965,80,0.6184072759546403,False
hierarchical,PAT_3975,67,0.4868648758567213,False
hierarchical,PAT_5515,12,0.5464526369797418,False
hierarchical,PAT_5533,41,0.5645699994221647,False
hierarchical,PAT_6619,144,0.5196837594973825,False
hierarchical,PAT_6684,77,0.6137741007111895,False
hierarchical,PAT_6704,46,0.5416521622230934,False
hierarchical,PAT_6854,146,0.5839632743171366,False
hierarchical,PAT_6953,156,0.5437001076688334,False
cnmf,EL030,77,0.5169078336695017,False
cnmf,EL033,74,0.6925262954749861,False
cnmf,EL034,55,0.5133061670741913,False
cnmf,EL035,40,0.4973581733903373,False
cnmf,EL036,26,0.5227244757533986,False
cnmf,EL037,51,0.5728332298365907,False
cnmf,EL038,72,0.5006915690178165,False
cnmf,EL040,30,0.5265534476574744,False
cnmf,EL042,103,0.5134540073324382,False
cnmf,EL043,74,0.43422786617462744,False
cnmf,EL045,81,0.4490643692452251,False
cnmf,EL046,86,0.5356295679383467,False
cnmf,EL048,15,0.5354063025622278,False
cnmf,PAT_2868,6,0.4441746596418992,False
cnmf,PAT_3066,28,0.5659339596252598,False
cnmf,PAT_3390,18,0.6513190813887809,False
cnmf,PAT_3455,36,0.5498700558965354,False
cnmf,PAT_3780,47,0.41060334140966037,False
cnmf,PAT_3965,80,0.6270396510038359,False
cnmf,PAT_3975,67,0.536589581918373,False
cnmf,PAT_5515,12,0.5018288314509457,False
cnmf,PAT_5533,41,0.5018852971240141,False
cnmf,PAT_6619,144,0.6982668883169338,False
cnmf,PAT_6684,77,0.6273624664929272,False
cnmf,PAT_6704,46,0.4400393246815904,False
cnmf,PAT_6854,146,0.44729327119203505,False
cnmf,PAT_6953,156,0.6600452606688939,False
