method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,238,14.166666666666666,238,0,0.0
kmeans,k-means,1,173,10.297619047619047,173,0,0.0
kmeans,k-means,2,120,7.142857142857142,120,0,0.0
kmeans,k-means,3,323,19.226190476190478,323,0,0.0
kmeans,k-means,4,237,14.107142857142858,237,0,0.0
kmeans,k-means,5,127,7.559523809523809,127,0,0.0
kmeans,k-means,6,75,4.464285714285714,75,0,0.0
kmeans,k-means,7,203,12.083333333333334,203,0,0.0
kmeans,k-means,8,184,10.952380952380953,184,0,0.0
hierarchical,Ward,0,180,10.714285714285714,180,0,0.0
hierarchical,Ward,1,268,15.95238095238095,268,0,0.0
hierarchical,Ward,2,218,12.976190476190478,218,0,0.0
hierarchical,Ward,3,114,6.785714285714286,114,0,0.0
hierarchical,Ward,4,293,17.44047619047619,293,0,0.0
hierarchical,Ward,5,45,2.6785714285714284,45,0,0.0
hierarchical,Ward,6,126,7.5,126,0,0.0
hierarchical,Ward,7,222,13.214285714285715,222,0,0.0
hierarchical,Ward,8,214,12.738095238095237,214,0,0.0
cnmf,convex NMF,0,185,11.011904761904761,185,0,0.0
cnmf,convex NMF,1,165,9.821428571428571,165,0,0.0
cnmf,convex NMF,2,140,8.333333333333332,140,0,0.0
cnmf,convex NMF,3,148,8.80952380952381,148,0,0.0
cnmf,convex NMF,4,180,10.714285714285714,180,0,0.0
cnmf,convex NMF,5,189,11.25,189,0,0.0
cnmf,convex NMF,6,357,21.25,357,0,0.0
cnmf,convex NMF,7,206,12.261904761904761,206,0,0.0
cnmf,convex NMF,8,110,6.547619047619048,110,0,0.0
