method,group,n_left_out,ari,degenerate
kmeans,EL030,77,0.6886312431309018,False
kmeans,EL033,74,0.5404320020790672,False
kmeans,EL034,55,0.6138028268267242,False
kmeans,EL035,40,0.5052156329802511,False
kmeans,EL036,26,0.7185752548458476,False
kmeans,EL037,51,0.5512117254902181,False
kmeans,EL038,72,0.6184884504394306,False
kmeans,EL040,30,0.719279189979332,False
kmeans,EL042,103,0.719922824070371,False
kmeans,EL043,74,0.578140651909124,False
kmeans,EL045,81,0.6511961842504723,False
kmeans,EL046,86,0.6736136297555654,False
kmeans,EL048,15,0.6178305564076104,False
kmeans,PAT_2868,6,0.5981607792729159,False
kmeans,PAT_3066,28,0.6577240189918617,False
kmeans,PAT_3390,18,0.6178080563706596,False
kmeans,PAT_3455,36,0.598955660248739,False
kmeans,PAT_3780,47,0.6361617902066181,False
kmeans,PAT_3965,80,0.5007427723612754,False
kmeans,PAT_3975,67,0.6417994849177768,False
kmeans,PAT_5515,12,0.5697219443978548,False
kmeans,PAT_5533,41,0.6436766389528438,False
kmeans,PAT_6619,144,0.6441911579007917,False
kmeans,PAT_6684,72,0.7004395777947748,False
kmeans,PAT_6704,46,0.6032230327182626,False
kmeans,PAT_6854,143,0.5263264039609026,False
kmeans,PAT_6953,156,0.647901691257207,False
hierarchical,EL030,77,0.7857630409624695,False
hierarchical,EL033,74,0.6854128976859993,False
hierarchical,EL034,55,0.5891979563133013,False
hierarchical,EL035,40,0.6406233958573992,False
hierarchical,EL036,26,0.7068839392642875,False
hierarchical,EL037,51,0.7357858873718723,False
hierarchical,EL038,72,0.718441803208542,False
hierarchical,EL040,30,0.5889541472842638,False
hierarchical,EL042,103,0.5894675893641491,False
hierarchical,EL043,74,0.6487727853274345,False
hierarchical,EL045,81,0.7425925013547393,False
hierarchical,EL046,86,0.6791274912285508,False
hierarchical,EL048,15,0.7543253019772738,False
hierarchical,PAT_2868,6,0.47491745721600315,False
hierarchical,PAT_3066,28,0.606080855456569,False
hierarchical,PAT_3390,18,0.7696038959780475,False
hierarchical,PAT_3455,36,0.8059320436382056,False
hierarchical,PAT_3780,47,0.6719573482120808,False
hierarchical,PAT_3965,80,0.5584756453802394,False
hierarchical,PAT_3975,67,0.6377044121627878,False
hierarchical,PAT_5515,12,0.5505362204497307,False
hierarchical,PAT_5533,41,0.8880469370471342,False
hierarchical,PAT_6619,144,0.7157496429719871,False
hierarchical,PAT_6684,72,0.5479134900742012,False
hierarchical,PAT_6704,46,0.5924266230333658,False
hierarchical,PAT_6854,143,0.6238384734777831,False
hierarchical,PAT_6953,156,0.6582126543189857,False
cnmf,EL030,77,0.6419391542568831,False
cnmf,EL033,74,0.4962913679051097,False
cnmf,EL034,55,0.5813558109910075,False
cnmf,EL035,40,0.5147641317577778,False
cnmf,EL036,26,0.704626169572068,False
cnmf,EL037,51,0.5434089202553443,False
cnmf,EL038,72,0.5885913001575467,False
cnmf,EL040,30,0.7477679286751945,False
cnmf,EL042,103,0.5574730832557488,False
cnmf,EL043,74,0.5107953708254535,False
cnmf,EL045,81,0.5875145408273708,False
cnmf,EL046,86,0.5362467697168161,False
cnmf,EL048,15,0.6576464007858033,False
cnmf,PAT_2868,6,0.5925821180585313,False
cnmf,PAT_3066,28,0.6366591783165823,False
cnmf,PAT_3390,18,0.5801327188955847,False
cnmf,PAT_3455,36,0.6237729200846411,False
cnmf,PAT_3780,47,0.5852157889136596,False
cnmf,PAT_3965,80,0.4595340465777491,False
cnmf,PAT_3975,67,0.6756924338128173,False
cnmf,PAT_5515,12,0.5253322044687081,False
cnmf,PAT_5533,41,0.6483520297001881,False
cnmf,PAT_6619,144,0.5485769244820901,False
cnmf,PAT_6684,72,0.6712692185026067,False
cnmf,PAT_6704,46,0.6264337985885651,False
cnmf,PAT_6854,143,0.503268440907182,False
cnmf,PAT_6953,156,0.6124836367692719,False
