method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means,0,122,7.2274881516587675,122,0,0.0
kmeans,k-means,1,106,6.279620853080568,106,0,0.0
kmeans,k-means,2,105,6.220379146919431,105,0,0.0
kmeans,k-means,3,175,10.367298578199053,175,0,0.0
kmeans,k-means,4,133,7.879146919431279,133,0,0.0
kmeans,k-means,5,47,2.7843601895734595,47,0,0.0
kmeans,k-means,6,95,5.627962085308057,95,0,0.0
kmeans,k-means,7,196,11.61137440758294,196,0,0.0
kmeans,k-means,8,70,4.1469194312796205,70,0,0.0
kmeans,k-means,9,119,7.049763033175356,119,0,0.0
kmeans,k-means,10,115,6.812796208530806,115,0,0.0
kmeans,k-means,11,138,8.175355450236967,138,0,0.0
kmeans,k-means,12,161,9.537914691943127,161,0,0.0
kmeans,k-means,13,106,6.279620853080568,106,0,0.0
hierarchical,Ward,0,217,12.855450236966826,217,0,0.0
hierarchical,Ward,1,222,13.151658767772512,222,0,0.0
hierarchical,Ward,2,208,12.322274881516588,208,0,0.0
hierarchical,Ward,3,154,9.123222748815166,154,0,0.0
hierarchical,Ward,4,61,3.6137440758293837,61,0,0.0
hierarchical,Ward,5,111,6.575829383886256,111,0,0.0
hierarchical,Ward,6,67,3.9691943127962084,67,0,0.0
hierarchical,Ward,7,58,3.4360189573459716,58,0,0.0
hierarchical,Ward,8,140,8.293838862559241,140,0,0.0
hierarchical,Ward,9,82,4.857819905213271,82,0,0.0
hierarchical,Ward,10,98,5.80568720379147,98,0,0.0
hierarchical,Ward,11,48,2.843601895734597,48,0,0.0
hierarchical,Ward,12,39,2.31042654028436,39,0,0.0
hierarchical,Ward,13,183,10.84123222748815,183,0,0.0
cnmf,convex NMF,0,98,5.80568720379147,98,0,0.0
cnmf,convex NMF,1,77,4.561611374407583,77,0,0.0
cnmf,convex NMF,2,102,6.042654028436019,102,0,0.0
cnmf,convex NMF,3,123,7.286729857819905,123,0,0.0
cnmf,convex NMF,4,84,4.976303317535545,84,0,0.0
cnmf,convex NMF,5,101,5.983412322274882,101,0,0.0
cnmf,convex NMF,6,187,11.078199052132701,187,0,0.0
cnmf,convex NMF,7,146,8.649289099526067,146,0,0.0
cnmf,convex NMF,8,135,7.9976303317535535,135,0,0.0
cnmf,convex NMF,9,47,2.7843601895734595,47,0,0.0
cnmf,convex NMF,10,90,5.33175355450237,90,0,0.0
cnmf,convex NMF,11,110,6.516587677725119,110,0,0.0
cnmf,convex NMF,12,181,10.722748815165877,181,0,0.0
cnmf,convex NMF,13,207,12.263033175355451,207,0,0.0
