feature_set,scheme,method_label,k_peak,peak,k_mark,at_k_mark,monotone
concat_hg,home,Ward,30,0.48659287957237796,11,0.41509314783944523,True
concat_hg,home,convex NMF,11,0.548310533320823,11,0.548310533320823,False
concat_hg,home,k-means,30,0.48890817452655294,11,0.42045854886968725,True
concat_rawds,home,Ward,30,0.4215064832895054,14,0.3523649413051096,True
concat_rawds,home,convex NMF,14,0.46094296950408886,14,0.46094296950408886,False
concat_rawds,home,k-means,30,0.4242421173275876,14,0.358597579388817,True
concat_bands5,home,Ward,30,0.48721658362809683,13,0.4001699270564239,True
concat_bands5,home,convex NMF,13,0.5545137760450531,13,0.5545137760450531,False
concat_bands5,home,k-means,30,0.48834589309268045,13,0.4061576570958266,True
concat_bands5z,home,Ward,30,0.47768524093662557,14,0.3946692032623632,True
concat_bands5z,home,convex NMF,14,0.536663059745401,14,0.536663059745401,False
concat_bands5z,home,k-means,30,0.48166245164009713,14,0.40163122076803254,True
