class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.42857142857142855,0.34615384615384615,0.3829787234042553,0.0,0.6666666666666666,0.9103251898316276,0.004975124378109453,0.01691542288557214
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.5491746105556847,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.1843553459119497,1.0,1.0
17Networks_12,58,0.02564102564102564,0.017241379310344827,0.020618556701030927,0.0,0.06384694577899792,0.6988314176245211,0.009950248756218905,0.024164889836531627
17Networks_13,95,0.08,0.021052631578947368,0.03333333333333333,0.0,0.05813953488372093,0.5448923583582362,0.014925373134328358,0.028192371475953566
17Networks_14,59,0.375,0.3050847457627119,0.3364485981308411,0.11428571428571428,0.5362318840579711,0.8474199204389058,0.004975124378109453,0.01691542288557214
17Networks_15,25,0.017857142857142856,0.04,0.024691358024691357,0.0,0.1601666666666665,0.6158199356913183,0.024875621890547265,0.04228855721393035
17Networks_16,43,0.06666666666666667,0.023255813953488372,0.034482758620689655,0.0,0.08698849104859332,0.5707967975600458,0.009950248756218905,0.024164889836531627
17Networks_17,228,0.3955431754874652,0.6228070175438597,0.4838160136286201,0.44481857375471834,0.7875197072072072,0.6944544580629657,1.0,1.0
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.05619546247818502,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.5153269024651661,1.0,1.0
17Networks_4,91,0.45,0.4945054945054945,0.4712041884816754,0.2894243421052632,0.7191615701891622,0.806988858891973,0.004975124378109453,0.01691542288557214
17Networks_5,23,0.0,0.0,0.0,0.0,0.0,0.634922111136945,1.0,1.0
17Networks_6,26,0.047619047619047616,0.038461538461538464,0.0425531914893617,0.0,0.1601666666666665,0.555793991416309,0.014925373134328358,0.028192371475953566
17Networks_7,43,0.0,0.0,0.0,0.0,0.0,0.6052611513534121,1.0,1.0
17Networks_8,40,0.22535211267605634,0.4,0.2882882882882883,0.0,0.5512820512820513,0.8335784313725491,0.004975124378109453,0.01691542288557214
17Networks_9,146,0.21468926553672316,0.2602739726027397,0.23529411764705882,0.11108923884514435,0.38889720558882235,0.6432282880086375,0.004975124378109453,0.01691542288557214
