condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,1,ersp,1.888712424626985e-05,1.888712424626985e-05
audio,0,1.0,4.0,1-4Hz,2,ersp,0.00016058503317122928,0.00016058503317122928
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,4,ersp,4.1304385050621294e-05,4.1304385050621294e-05
audio,0,1.0,4.0,1-4Hz,5,ersp,8.898554496673916e-05,8.898554496673916e-05
audio,0,1.0,4.0,1-4Hz,6,ersp,0.00016043397512074072,0.00016043397512074072
audio,0,1.0,4.0,1-4Hz,7,ersp,0.00012459692001586903,0.00012459692001586903
audio,0,1.0,4.0,1-4Hz,8,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,9,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,10,ersp,0.0002427813080016896,0.0002427813080016896
audio,0,1.0,4.0,1-4Hz,11,ersp,0.00031993171932141544,0.00031993171932141544
audio,0,1.0,4.0,1-4Hz,12,ersp,0.00018050343775220736,0.00018050343775220736
audio,0,1.0,4.0,1-4Hz,13,ersp,0.00013339281188657514,0.00013339281188657514
audio,0,1.0,4.0,1-4Hz,14,ersp,5.04989861737328e-05,5.04989861737328e-05
audio,0,1.0,4.0,1-4Hz,15,ersp,0.00013492434747006455,0.00013492434747006455
audio,0,1.0,4.0,1-4Hz,16,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,17,ersp,0.00043786988357911755,0.00043786988357911755
audio,0,1.0,4.0,1-4Hz,18,ersp,0.000133333271103168,0.000133333271103168
audio,0,1.0,4.0,1-4Hz,19,ersp,0.00012043366420818297,0.00012043366420818297
audio,0,1.0,4.0,1-4Hz,20,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,21,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,22,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,23,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,24,ersp,5.676921881358599e-05,5.676921881358599e-05
audio,0,1.0,4.0,1-4Hz,25,ersp,6.463285775827364e-05,6.463285775827364e-05
audio,0,1.0,4.0,1-4Hz,26,ersp,0.00011688795135014845,0.00011688795135014845
audio,0,1.0,4.0,1-4Hz,27,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,28,ersp,6.829930247361471e-05,6.829930247361471e-05
audio,0,1.0,4.0,1-4Hz,29,ersp,4.044066535227327e-05,4.044066535227327e-05
audio,0,1.0,4.0,1-4Hz,30,ersp,0.00012246318172733073,0.00012246318172733073
audio,0,1.0,4.0,1-4Hz,31,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,32,ersp,0.0001279428683505769,0.0001279428683505769
audio,0,1.0,4.0,1-4Hz,33,ersp,0.00014717147525580908,0.00014717147525580908
audio,0,1.0,4.0,1-4Hz,34,ersp,8.467949510641578e-05,8.467949510641578e-05
audio,0,1.0,4.0,1-4Hz,35,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,36,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,37,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,38,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,39,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,40,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,41,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,42,ersp,2.0765120943428858e-05,2.0765120943428858e-05
audio,0,1.0,4.0,1-4Hz,43,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,44,ersp,4.933501878226564e-05,4.933501878226564e-05
audio,0,1.0,4.0,1-4Hz,45,ersp,9.041484302531625e-05,9.041484302531625e-05
audio,0,1.0,4.0,1-4Hz,46,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,47,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,48,ersp,2.612235596482586e-05,2.612235596482586e-05
audio,0,1.0,4.0,1-4Hz,49,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,50,ersp,3.452239368446554e-05,3.452239368446554e-05
audio,0,1.0,4.0,1-4Hz,51,ersp,3.605227813507981e-05,3.605227813507981e-05
audio,0,1.0,4.0,1-4Hz,52,ersp,0.00011278455202900826,0.00011278455202900826
audio,0,1.0,4.0,1-4Hz,53,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,54,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,55,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,56,ersp,4.056253881220227e-05,4.056253881220227e-05
audio,0,1.0,4.0,1-4Hz,57,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,58,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,59,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,60,ersp,3.74434409515793e-05,3.74434409515793e-05
audio,0,1.0,4.0,1-4Hz,61,ersp,3.141988751295807e-05,3.141988751295807e-05
audio,0,1.0,4.0,1-4Hz,62,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,63,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,64,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,65,ersp,4.062798618415992e-05,4.062798618415992e-05
audio,0,1.0,4.0,1-4Hz,66,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,67,ersp,2.6171734185540434e-05,2.6171734185540434e-05
audio,0,1.0,4.0,1-4Hz,68,ersp,4.095362382633164e-06,4.095362382633164e-06
audio,0,1.0,4.0,1-4Hz,69,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,70,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,71,ersp,3.577484957592392e-05,3.577484957592392e-05
audio,0,1.0,4.0,1-4Hz,72,ersp,0.0004461140185748771,0.0004461140185748771
audio,0,1.0,4.0,1-4Hz,73,ersp,0.00019071207530938584,0.00019071207530938584
audio,0,1.0,4.0,1-4Hz,74,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,75,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,76,ersp,5.710816287553068e-05,5.710816287553068e-05
audio,0,1.0,4.0,1-4Hz,77,ersp,8.424620730281372e-06,8.424620730281372e-06
audio,0,1.0,4.0,1-4Hz,78,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,79,ersp,7.841109129164615e-05,7.841109129164615e-05
audio,0,1.0,4.0,1-4Hz,80,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,81,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,82,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,83,ersp,4.982927092596928e-05,4.982927092596928e-05
audio,0,1.0,4.0,1-4Hz,84,ersp,3.324722006992978e-05,3.324722006992978e-05
audio,0,1.0,4.0,1-4Hz,85,ersp,0.00013083943677506845,0.00013083943677506845
audio,0,1.0,4.0,1-4Hz,86,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,87,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,88,ersp,0.00012951464593685157,0.00012951464593685157
audio,0,1.0,4.0,1-4Hz,89,ersp,4.621985125156304e-05,4.621985125156304e-05
audio,0,1.0,4.0,1-4Hz,90,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,91,ersp,0.00024489441985206387,0.00024489441985206387
audio,0,1.0,4.0,1-4Hz,92,ersp,1.8275473513428863e-05,1.8275473513428863e-05
audio,0,1.0,4.0,1-4Hz,93,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,94,ersp,4.418699292934156e-05,4.418699292934156e-05
audio,0,1.0,4.0,1-4Hz,95,ersp,1.7144000994235687e-05,1.7144000994235687e-05
