class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.3783783783783784,0.5384615384615384,0.4444444444444444,0.0,0.75,0.9403268405414328,0.004975124378109453,0.012082444918265814
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.49751220646361305,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.5495283018867925,1.0,1.0
17Networks_12,58,0.06382978723404255,0.05172413793103448,0.05714285714285714,0.0,0.14285714285714285,0.7074521072796934,0.5522388059701493,0.8534599728629579
17Networks_13,95,0.07142857142857142,0.031578947368421054,0.043795620437956206,0.0,0.06863590263691684,0.48129535890711717,0.9850746268656716,1.0
17Networks_14,59,0.35365853658536583,0.4915254237288136,0.41134751773049644,0.2776881720430108,0.7071589205397298,0.8010029976810392,0.004975124378109453,0.012082444918265814
17Networks_15,25,0.23529411764705882,0.32,0.2711864406779661,0.10526315789473684,0.5185555555555555,0.7386923901393355,0.004975124378109453,0.012082444918265814
17Networks_16,43,0.025,0.023255813953488372,0.024096385542168676,0.0,0.1,0.6261024272461558,0.7661691542288557,1.0
17Networks_17,228,0.4311111111111111,0.42543859649122806,0.4282560706401766,0.26728011282377245,0.5813516260162601,0.6911079067531843,0.03980099502487562,0.0845771144278607
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.7075043630017452,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.6109753483386924,1.0,1.0
17Networks_4,91,0.5268817204301075,0.5384615384615384,0.532608695652174,0.38459302325581396,0.6981361055138303,0.8584610314714121,0.004975124378109453,0.012082444918265814
17Networks_5,23,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.0,0.15,0.7459195535921879,0.263681592039801,0.49806522940851305
17Networks_6,26,0.08888888888888889,0.15384615384615385,0.11267605633802817,0.0,0.38104395604395597,0.6977137669197755,0.004975124378109453,0.012082444918265814
17Networks_7,43,0.029850746268656716,0.046511627906976744,0.03636363636363636,0.0,0.17397698209718665,0.5906976744186047,0.472636815920398,0.8034825870646767
17Networks_8,40,0.208955223880597,0.35,0.2616822429906542,0.0,0.527027027027027,0.7933823529411764,0.004975124378109453,0.012082444918265814
17Networks_9,146,0.36024844720496896,0.3972602739726027,0.3778501628664495,0.1727101661779081,0.5804692339459013,0.6646872258586949,0.004975124378109453,0.012082444918265814
