,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,7,0,0,0,1,1,1,0,3,0,0,4,0,0,0,2,7
17Networks_10,0,0,0,2,0,0,0,0,3,0,0,1,0,2,0,0,15
17Networks_11,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
17Networks_12,2,0,0,2,0,2,1,3,13,0,0,1,4,11,2,8,9
17Networks_13,2,0,0,0,1,5,4,7,30,3,2,6,0,5,1,3,26
17Networks_14,1,0,0,1,1,15,0,1,12,0,0,19,0,5,0,0,4
17Networks_15,3,0,0,0,0,0,0,0,5,0,0,6,1,1,2,0,7
17Networks_16,0,1,0,1,0,3,1,1,22,0,1,0,1,2,1,2,7
17Networks_17,2,1,0,2,8,6,4,16,113,0,5,5,0,8,3,8,47
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17Networks_3,0,0,1,0,0,0,1,2,13,0,1,3,0,0,0,0,4
17Networks_4,0,0,0,1,1,9,1,1,11,0,0,46,2,9,0,2,8
17Networks_5,0,0,0,4,0,0,0,1,4,0,0,1,0,0,0,5,8
17Networks_6,0,0,0,5,0,1,1,0,5,0,0,4,1,2,0,4,3
17Networks_7,0,0,0,5,0,1,2,0,16,0,0,2,1,1,0,10,5
17Networks_8,0,0,0,2,0,1,1,1,4,0,0,2,6,8,0,10,5
17Networks_9,9,5,0,4,3,8,4,5,51,0,1,2,1,3,3,4,43
