class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.25925925925925924,0.2692307692307692,0.2641509433962264,0.0,0.6666666666666666,0.898894024430505,0.004975124378109453,0.010572139303482588
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.4868170192978377,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.22366352201257864,1.0,1.0
17Networks_12,58,0.06896551724137931,0.034482758620689655,0.04597701149425287,0.0,0.11116352201257856,0.7305363984674329,0.004975124378109453,0.010572139303482588
17Networks_13,95,0.06666666666666667,0.010526315789473684,0.01818181818181818,0.0,0.04256079027355622,0.49929865219247416,0.07960199004975124,0.13532338308457711
17Networks_14,59,0.28846153846153844,0.2542372881355932,0.2702702702702703,0.1340893862235326,0.44119357045143637,0.823306498746253,0.004975124378109453,0.010572139303482588
17Networks_15,25,0.0,0.0,0.0,0.0,0.0,0.5947695605573419,1.0,1.0
17Networks_16,43,0.02631578947368421,0.023255813953488372,0.024691358024691357,0.0,0.08108108108108109,0.6020332952090482,0.004975124378109453,0.010572139303482588
17Networks_17,228,0.36807817589576547,0.4956140350877193,0.4224299065420561,0.31684535412605586,0.6871810699588478,0.6647500600817112,1.0,1.0
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.27242582897033163,1.0,1.0
17Networks_3,25,0.1,0.04,0.05714285714285714,0.0,0.5024999999999977,0.45324758842443735,0.009950248756218905,0.018794914317302378
17Networks_4,91,0.44660194174757284,0.5054945054945055,0.4742268041237113,0.31993269230769233,0.7087409364630699,0.7958224013587335,0.004975124378109453,0.010572139303482588
17Networks_5,23,0.0,0.0,0.0,0.0,0.0,0.6065101139269937,1.0,1.0
17Networks_6,26,0.03508771929824561,0.07692307692307693,0.04819277108433735,0.0,0.2,0.5808435127104654,0.004975124378109453,0.010572139303482588
17Networks_7,43,0.0,0.0,0.0,0.0,0.0,0.5300546448087432,1.0,1.0
17Networks_8,40,0.1724137931034483,0.25,0.20408163265306123,0.0,0.37333333333333335,0.8058006535947713,0.004975124378109453,0.010572139303482588
17Networks_9,146,0.21393034825870647,0.2945205479452055,0.2478386167146974,0.15318304007820138,0.42454009433962264,0.6034820163303867,0.004975124378109453,0.010572139303482588
