condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[17Networks_1],coef[17Networks_10],coef[17Networks_11],coef[17Networks_12],coef[17Networks_13],coef[17Networks_14],coef[17Networks_15],coef[17Networks_16],coef[17Networks_17],coef[17Networks_2],coef[17Networks_3],coef[17Networks_4],coef[17Networks_5],coef[17Networks_6],coef[17Networks_7],coef[17Networks_8],coef[17Networks_9],importance
audio,-1,70.0,150.0,HG 70-150Hz,0,hg,0.02967235559528242,0.04576331223371534,-0.046149110640625754,0.05038926555397374,0.022633897105006094,-0.027944700254219506,-0.003395485946559804,-0.05587704539220957,0.028589797406870447,0.08752451753886634,-0.027285730155836508,-0.005484262151884575,0.016352179748127374,0.004208157381350822,-0.020422792910594595,-0.02549904145931701,-0.07307531365194561,0.033545115595669736
audio,-1,70.0,150.0,HG 70-150Hz,1,hg,0.010005070024492652,0.03305744126244933,-0.03575896699081849,0.028515253511932907,-0.04970053603467581,-0.0254712881964322,-0.025927285123420154,-0.03427660666991597,0.03001041420166162,0.032029979376929925,0.0001536152793078169,0.03074753700645997,0.0004867869148281513,0.017776607552998296,-0.005962845538330446,0.00028464521089421505,-0.005969821788361755,0.02153733533434763
audio,-1,70.0,150.0,HG 70-150Hz,2,hg,-0.009141119741677653,-0.03191724888143528,0.009806869633867865,-0.015562603555108802,-0.0025298397149617277,-0.04569127843948727,-0.051160844922684,0.022669372766758462,0.02809052989638746,0.014380687462374081,0.019269751751629594,0.0004369253171267675,0.027552787108440596,0.018763576560159964,0.026973807132222284,-0.025486196919339486,0.013544824545727268,0.021351662608787566
audio,-1,70.0,150.0,HG 70-150Hz,3,hg,-0.001233536413773993,-0.07836566562208003,0.028155241417759706,-0.02666946170743775,0.025264434152701923,-0.05384433908455855,-0.010745239606891221,0.023971825557284433,-0.0011706467761559754,-0.005565503147307192,0.08468881233088493,-0.05246679289273725,0.029536238873936835,0.016025781285663055,0.052104791547887525,-0.011757085568930787,-0.017928854346245606,0.030558485313660982
audio,-1,70.0,150.0,HG 70-150Hz,4,hg,0.035630359798900835,-0.13664624835315917,0.0021088607671606962,0.01145091312409619,0.0316584154853632,-0.04782669759342096,-0.007856991558777407,-0.00499725655232063,-0.03979670251480825,0.05353273964484462,0.039580256699364956,-0.006813012536310734,0.02433660320756949,0.03272501816126088,0.0073538070459042175,0.0501837792729639,-0.044623844098632126,0.03394832390675637
audio,-1,70.0,150.0,HG 70-150Hz,5,hg,0.037120297595719394,-0.08271027361177087,-0.04140396045849807,-0.017005520214503963,0.0010733790558416867,-0.014500649394094853,-0.005427083647329662,0.0319348320850633,-0.018684347418887776,0.03329306200793684,-0.023434955787246418,0.05510236410782392,0.0005153933155153442,-0.0007074056169969211,0.00530667060328538,0.05605143491512427,-0.01652323753698173,0.02592910984544826
audio,-1,70.0,150.0,HG 70-150Hz,6,hg,0.03923160165373629,-0.019674122652686792,-0.06177960754998134,-0.042194504753449734,0.017094798562552208,-0.0019230053277410743,-0.01683976463378907,0.02643041809666285,-0.04095283215623924,-0.010428323682495922,0.03081891894483047,0.07907826101242092,0.012153507920495063,-0.012545404597670123,-0.001538362895149479,0.01126922798517062,-0.008200805926665902,0.025420792255984533
audio,-1,70.0,150.0,HG 70-150Hz,7,hg,0.024282433820870395,0.004069818795775506,-0.025505043915854324,-0.019241212048451535,-0.01546586772560164,0.01671422401782083,-0.026585218704277765,0.028856749049782495,-0.04863657892882211,-0.017154058285973002,0.04104717364443888,0.07062064098570602,-0.009849232831282513,-0.011383208278596556,-0.01273332326430704,0.00422738164734009,-0.0032646779785678337,0.02233157905432168
audio,-1,70.0,150.0,HG 70-150Hz,8,hg,0.03716035242980962,0.011657664312923735,-0.02356783037775661,-0.013892521413607023,-0.010999080116674366,0.027616114738405244,-0.02908881619839723,-0.005856834739998125,-0.027985520229345494,-0.02482576461518389,0.0571114109602799,0.050377535414123376,-0.06027250276948839,-0.0033724974505849365,-0.03207703677150387,0.03850331037590955,0.009512016451088894,0.027286871139122364
audio,-1,70.0,150.0,HG 70-150Hz,9,hg,0.00879196600050297,-0.024409018160579297,-0.0012496865135128436,-0.010039675031008726,0.007314841451796551,0.043347292645181855,-0.027989675045145036,-0.0005438722109338694,-0.033141285522226185,-0.03662013061283744,0.03529921728575706,0.03767955550987252,-0.037518798148778267,-0.01070563475918427,0.006109825229094691,0.01913435831839585,0.024540719563604308,0.021437385412259514
