class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.5357142857142857,0.5769230769230769,0.5555555555555556,0.0,0.7955681818181817,0.930793991416309,0.004975124378109453,0.021144278606965175
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.396140432457568,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.2940251572327044,1.0,1.0
17Networks_12,58,0.02,0.017241379310344827,0.018518518518518517,0.0,0.07414529914529908,0.500095785440613,0.9701492537313433,1.0
17Networks_13,95,0.15267175572519084,0.21052631578947367,0.17699115044247787,0.09090909090909091,0.3880984686954836,0.5425626639019333,0.03482587064676617,0.0740049751243781
17Networks_14,59,0.44680851063829785,0.3559322033898305,0.39622641509433965,0.2173411371237458,0.49182703730102156,0.746026658622575,0.004975124378109453,0.021144278606965175
17Networks_15,25,0.09375,0.12,0.10526315789473684,0.0,0.27280564263322876,0.5828081457663451,0.024875621890547265,0.06041222459132907
17Networks_16,43,0.0392156862745098,0.046511627906976744,0.0425531914893617,0.0,0.12767321331151116,0.6175625873681535,0.5572139303482587,0.8919041157847128
17Networks_17,228,0.3652173913043478,0.18421052631578946,0.24489795918367346,0.090892002734108,0.30527857409946396,0.6341804854602259,0.5771144278606966,0.8919041157847128
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.31029668411867367,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.3162272240085745,1.0,1.0
17Networks_4,91,0.3387096774193548,0.46153846153846156,0.39069767441860465,0.2714075630252101,0.6760741214966567,0.7342231010051078,0.004975124378109453,0.021144278606965175
17Networks_5,23,0.0,0.0,0.0,0.0,0.0,0.5240176703092304,1.0,1.0
17Networks_6,26,0.07142857142857142,0.07692307692307693,0.07407407407407407,0.0,0.25,0.5054060746120832,0.208955223880597,0.3946932006633499
17Networks_7,43,0.10606060606060606,0.16279069767441862,0.12844036697247707,0.0,0.3774245283018868,0.5312237895539458,0.024875621890547265,0.06041222459132907
17Networks_8,40,0.225,0.225,0.225,0.06656250000000001,0.45454545454545453,0.7703703703703703,0.009950248756218905,0.03383084577114428
17Networks_9,146,0.27167630057803466,0.3219178082191781,0.2946708463949843,0.10618808962264151,0.5031212121212121,0.6487026789931845,0.004975124378109453,0.021144278606965175
