,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,5,0,3,0,0,0,7,0,0,6,0,0,2,0,0,0,3
17Networks_10,0,0,0,10,1,0,1,3,2,1,0,0,2,1,0,2,0
17Networks_11,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
17Networks_12,1,2,0,2,2,1,11,2,5,7,0,1,4,5,0,4,11
17Networks_13,4,2,0,10,8,2,5,11,9,9,1,6,2,0,1,8,17
17Networks_14,0,0,0,1,1,22,5,3,5,1,1,18,1,0,0,0,1
17Networks_15,1,1,0,4,0,1,4,0,0,1,1,0,3,0,2,6,1
17Networks_16,0,1,0,0,5,1,1,3,9,6,3,1,2,0,1,4,6
17Networks_17,5,13,1,13,9,4,15,8,52,18,20,10,6,8,2,16,28
17Networks_2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
17Networks_3,0,0,0,2,1,0,0,3,5,0,0,9,2,0,0,2,1
17Networks_4,1,2,0,3,6,21,0,2,3,9,3,34,1,2,0,4,0
17Networks_5,0,1,0,0,1,0,8,2,0,3,0,1,0,4,0,0,3
17Networks_6,2,0,0,0,2,1,2,2,2,5,0,2,1,0,0,7,0
17Networks_7,1,0,0,2,4,1,4,4,4,4,0,9,1,3,0,6,0
17Networks_8,1,2,0,1,4,0,5,1,1,3,1,2,3,3,0,13,0
17Networks_9,5,8,1,6,8,3,3,8,24,13,9,4,11,5,0,5,33
