,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,10,0,2,0,0,4,4,0,2,0,0,3,0,0,0,0,1
17Networks_10,0,0,0,4,1,0,3,0,4,0,0,0,0,1,0,1,9
17Networks_11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
17Networks_12,1,0,0,2,2,1,10,0,13,0,0,0,5,2,1,6,15
17Networks_13,2,1,0,8,3,8,5,3,34,0,1,9,0,1,0,1,19
17Networks_14,2,0,0,1,2,21,0,1,12,0,0,20,0,0,0,0,0
17Networks_15,3,0,0,2,0,0,1,0,7,0,0,1,1,1,0,7,2
17Networks_16,0,0,0,2,5,1,6,1,23,0,0,0,1,1,0,0,3
17Networks_17,4,2,0,15,16,7,14,3,125,0,0,10,1,5,0,6,20
17Networks_2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
17Networks_3,3,0,0,0,2,0,0,1,13,0,0,1,1,0,0,1,3
17Networks_4,3,0,0,0,3,22,5,0,15,0,2,30,1,1,1,5,3
17Networks_5,1,0,0,0,0,1,5,0,7,0,0,0,0,0,0,5,4
17Networks_6,0,0,0,1,4,1,1,0,7,0,0,3,2,1,1,3,2
17Networks_7,1,0,0,2,5,2,4,0,17,0,1,3,2,1,1,2,2
17Networks_8,1,0,0,1,3,1,14,1,4,0,0,1,1,1,1,6,5
17Networks_9,7,0,0,2,14,7,5,6,53,0,0,5,3,1,0,5,38
