,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,18,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2
17Networks_10,0,0,0,1,2,0,2,7,7,0,0,0,0,0,1,0,3
17Networks_11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0
17Networks_12,3,0,0,1,6,1,2,4,6,0,2,5,3,4,8,2,11
17Networks_13,1,0,0,3,18,1,2,8,14,0,0,14,2,1,5,3,23
17Networks_14,0,0,0,1,3,19,3,0,3,0,3,24,0,1,1,0,1
17Networks_15,2,0,0,5,0,1,3,1,2,0,1,4,0,0,2,2,2
17Networks_16,0,0,0,1,5,0,0,5,4,0,4,4,2,1,7,0,10
17Networks_17,4,5,7,9,24,5,1,5,43,0,19,30,1,4,15,8,48
17Networks_2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
17Networks_3,0,0,0,0,9,0,0,0,3,0,0,10,0,0,1,0,2
17Networks_4,2,1,0,2,5,17,0,3,11,0,3,39,0,2,2,0,4
17Networks_5,1,1,0,2,1,0,3,2,2,0,0,2,0,3,2,1,3
17Networks_6,4,0,0,2,2,0,0,3,2,0,1,2,0,1,4,3,2
17Networks_7,0,0,0,3,9,0,4,2,3,0,0,10,0,5,6,1,0
17Networks_8,0,0,0,1,3,0,6,3,1,0,1,1,0,4,8,8,4
17Networks_9,8,1,1,6,24,2,3,4,12,0,12,17,1,5,2,2,46
