class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.4186046511627907,0.6923076923076923,0.5217391304347826,0.0,1.0,0.925718058765269,0.004975124378109453,0.021144278606965175
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.3996744943036503,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.27541928721174,1.0,1.0
17Networks_12,58,0.02702702702702703,0.017241379310344827,0.021052631578947368,0.0,0.07414529914529908,0.4682567049808429,0.9751243781094527,1.0
17Networks_13,95,0.15789473684210525,0.18947368421052632,0.1722488038277512,0.06766013591671487,0.3767666157372039,0.5399280356162712,0.04975124378109453,0.12082444918265814
17Networks_14,59,0.41304347826086957,0.3220338983050847,0.3619047619047619,0.19146403242147922,0.45902747009304384,0.7617503440734525,0.004975124378109453,0.021144278606965175
17Networks_15,25,0.1,0.12,0.10909090909090909,0.0,0.27280564263322876,0.5277599142550911,0.03482587064676617,0.09867330016583747
17Networks_16,43,0.10638297872340426,0.11627906976744186,0.1111111111111111,0.03331967213114754,0.2564102564102564,0.630118185284026,0.10945273631840796,0.20674405749032615
17Networks_17,228,0.37719298245614036,0.18859649122807018,0.25146198830409355,0.1070037775476569,0.2989519544805062,0.6243330930064888,0.44776119402985076,0.7611940298507462
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.16404886561954624,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.26405144694533766,1.0,1.0
17Networks_4,91,0.23493975903614459,0.42857142857142855,0.3035019455252918,0.21533980582524273,0.6767929292929293,0.7152616702789714,0.004975124378109453,0.021144278606965175
17Networks_5,23,0.0,0.0,0.0,0.0,0.0,0.43017902813299236,1.0,1.0
17Networks_6,26,0.03225806451612903,0.038461538461538464,0.03508771929824561,0.0,0.125,0.5061901617695609,0.5472636815920398,0.8457711442786068
17Networks_7,43,0.09090909090909091,0.13953488372093023,0.11009174311926606,0.0,0.32077156334231804,0.5495234464353794,0.06965174129353234,0.1480099502487562
17Networks_8,40,0.26666666666666666,0.2,0.22857142857142856,0.06656250000000001,0.45454545454545453,0.767483660130719,0.014925373134328358,0.05074626865671642
17Networks_9,146,0.2857142857142857,0.3150684931506849,0.2996742671009772,0.06665094339622642,0.5067883725971961,0.6332664147378365,0.004975124378109453,0.021144278606965175
