,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,7,0,0,0,0,2,8,0,1,0,0,2,2,0,0,0,4
17Networks_10,0,0,1,9,1,0,0,2,3,0,0,2,0,0,0,0,5
17Networks_11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
17Networks_12,3,0,0,2,0,3,5,1,15,0,0,1,6,0,3,1,18
17Networks_13,6,1,0,8,2,9,1,7,23,1,1,14,1,0,0,1,20
17Networks_14,1,0,0,4,0,16,0,0,12,0,0,26,0,0,0,0,0
17Networks_15,4,0,0,5,0,0,1,0,5,0,0,1,2,0,0,5,2
17Networks_16,1,0,0,1,3,0,3,0,14,0,1,5,0,0,0,0,15
17Networks_17,3,1,2,14,3,4,8,9,105,0,10,24,0,2,2,3,38
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
17Networks_3,3,0,0,0,0,0,0,1,17,0,0,3,0,0,0,0,1
17Networks_4,2,0,0,3,0,26,1,1,14,0,0,37,0,1,1,3,2
17Networks_5,4,0,1,1,0,0,3,0,5,0,0,1,0,0,0,5,3
17Networks_6,2,0,0,0,0,1,1,0,7,0,0,5,0,0,3,4,3
17Networks_7,1,0,0,1,1,2,5,2,20,0,0,3,1,0,0,2,5
17Networks_8,4,0,0,2,1,0,6,2,8,0,0,2,0,0,1,3,11
17Networks_9,11,1,0,3,5,5,5,10,38,1,2,17,4,0,0,5,39
