class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.18518518518518517,0.19230769230769232,0.18867924528301888,0.0,0.3076923076923077,0.9097474413998019,0.03482587064676617,0.09867330016583747
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.5110904440827715,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.49475890985324944,1.0,1.0
17Networks_12,58,0.037037037037037035,0.034482758620689655,0.03571428571428571,0.0,0.12121212121212122,0.440095785440613,0.8407960199004975,1.0
17Networks_13,95,0.14814814814814814,0.08421052631578947,0.10738255033557047,0.0,0.18924669350201262,0.5411111788741844,0.22388059701492538,0.47574626865671643
17Networks_14,59,0.38596491228070173,0.3728813559322034,0.3793103448275862,0.1998913043478261,0.585575457317073,0.8526234422427933,0.004975124378109453,0.01691542288557214
17Networks_15,25,0.056338028169014086,0.16,0.08333333333333333,0.0,0.3333333333333333,0.6777706323687032,0.13930348258706468,0.33830845771144274
17Networks_16,43,0.057692307692307696,0.06976744186046512,0.06315789473684211,0.0,0.16678571428571418,0.6357351632990215,0.5422885572139303,1.0
17Networks_17,228,0.4297520661157025,0.22807017543859648,0.2979942693409742,0.10327256959205537,0.3784230511503239,0.654758471521269,0.004975124378109453,0.01691542288557214
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.1853403141361257,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.577620578778135,1.0,1.0
17Networks_4,91,0.3434343434343434,0.37362637362637363,0.35789473684210527,0.21495910949568378,0.5384803921568627,0.8098026540933115,0.004975124378109453,0.01691542288557214
17Networks_5,23,0.0,0.0,0.0,0.0,0.0,0.5401069518716577,1.0,1.0
17Networks_6,26,0.0,0.0,0.0,0.0,0.0,0.6108451634202707,1.0,1.0
17Networks_7,43,0.0,0.0,0.0,0.0,0.0,0.4687507942559411,1.0,1.0
17Networks_8,40,0.16883116883116883,0.325,0.2222222222222222,0.07130952380952381,0.4444871794871794,0.8244553376906318,0.004975124378109453,0.01691542288557214
17Networks_9,146,0.3173076923076923,0.22602739726027396,0.264,0.029695690157251018,0.37405426239987966,0.6096143464471286,0.004975124378109453,0.01691542288557214
