,aud|1-4Hz,aud|4-8Hz,aud|8-13Hz,aud|13-20Hz,aud|20-30Hz,aud|30-50Hz,aud|50-70Hz,aud|70-100Hz,aud|100-130Hz,aud|130-170Hz,aud|170-220Hz,aud|220-270Hz,aud|270-320Hz,aud|320-360Hz,aud|360-400Hz,pic|1-4Hz,pic|4-8Hz,pic|8-13Hz,pic|13-20Hz,pic|20-30Hz,pic|30-50Hz,pic|50-70Hz,pic|70-100Hz,pic|100-130Hz,pic|130-170Hz,pic|170-220Hz,pic|220-270Hz,pic|270-320Hz,pic|320-360Hz,pic|360-400Hz,rea|1-4Hz,rea|4-8Hz,rea|8-13Hz,rea|13-20Hz,rea|20-30Hz,rea|30-50Hz,rea|50-70Hz,rea|70-100Hz,rea|100-130Hz,rea|130-170Hz,rea|170-220Hz,rea|220-270Hz,rea|270-320Hz,rea|320-360Hz,rea|360-400Hz
17Networks_1,-0.03734478593474163,-0.06267491467539947,-0.03294225619574708,0.03105070564249731,0.19772197746549552,0.17862187993202158,0.45465054421746287,0.6204207812345568,0.5821634406835001,0.516096885631745,0.45089246797740307,0.3693808487398667,0.3267586164385291,0.34208883902546944,0.35353509070077543,0.05577474491352657,0.008700017177221018,-0.09358566321233769,-0.08521422719735075,0.22091947690494076,0.8064787802221447,1.0908980609404992,1.3352305539898974,1.5353727312527992,1.4981427088958066,1.0079436753243702,0.57638497660386,0.28923858251835194,0.3341293585356585,0.4733021930409004,0.1577778754174727,0.17003858260034704,0.2553053212358946,0.25275949015736937,0.43567934338817493,0.5058196343979803,0.6275471785434912,0.6412747816631614,0.5462839518954266,0.452740189335296,0.39422727024509013,0.29633253683662264,0.19601450390286335,0.13349891197536717,0.14803927818962265
17Networks_10,0.19401659325539242,0.1996989196237446,0.11084401764274802,-0.015474092324871657,-0.022630631449609022,-0.12983614835872426,-0.2362541747800204,-0.27524081664903155,-0.233606665013227,-0.18027626567795044,-0.15325469918136927,-0.1336838926084284,-0.11892557510166875,-0.08092337629472036,-0.10808147647924214,-0.17200126609896346,-0.1637532476725125,-0.12832399102973077,-0.11678013104461826,-0.12867056670833815,-0.22295990285224104,-0.26720084603336886,-0.2967362484963642,-0.2727633278877215,-0.2105115024823521,-0.18644339309276337,-0.1413179862401904,-0.12589575903481084,-0.12293944186260426,-0.12950196511109222,0.025475473395304562,0.030270606212749195,-0.006963846855871586,-0.03634006501634386,-0.04107424543463791,-0.1627970684548181,-0.20448716841977815,-0.2018875328509056,-0.1769066119241167,-0.09388008491537399,-0.06968421824950868,-0.03717921505254675,-0.01871936907582999,-0.00406633274550884,-0.03185009445954875
17Networks_11,0.07079493528360493,-0.09466129054104275,-0.11111196789052116,-0.513606171055299,-0.6925524868050946,-0.43277140733266883,0.0028883318678858787,0.15585857852482354,0.15384744540337766,0.4939162546988521,0.4797396081527241,0.6460630635183247,0.7179583614318641,0.3459216346893227,0.3342853070581522,-0.2932430435527551,-0.2608224263822413,-0.267145337118231,-0.4942337026396229,-0.4435746439853281,-0.012892228968439556,0.6138533412291053,0.7971891020516739,0.8329669607674579,0.582772202070831,0.1069302664223089,0.2407585400182329,-0.02044950109659123,-0.12293944186260423,-0.1295019651110922,-0.1519872768067339,-0.12440284301991542,-0.1027129386356105,-0.4253488347625646,-0.4856788588656501,-0.41332312567181007,-0.13602808419540433,-0.05782861835961316,-0.02544348860024505,-0.041768198139978945,-0.07824403249847339,-0.04351870319610675,-0.01871936907582999,-0.004066332745508839,-0.03185009445954874
17Networks_12,-0.16071000602443755,-0.2085058077398617,-0.267002139229145,-0.2899780211007164,-0.2111370551305602,-0.12976983366968262,-0.10951754833780376,-0.12966630669314821,-0.08812831357302559,-0.0587247659008185,-0.046567659031682605,-0.07297398276503862,-0.04042427658308999,0.039397521067223655,0.02555940625878466,-0.22836565712508902,-0.23931951262669202,-0.22352782055916937,-0.24595176520882878,-0.21306474254434365,-0.13057070977804527,-0.08208227755977851,-0.08827241294436479,-0.0801393145400895,-0.02847843987772003,-0.060887440220761764,-0.016925639521473693,-0.07355719954063235,-0.045102596065322555,-0.018354262360438738,-0.3757059680830586,-0.41583867528506896,-0.5380541318477293,-0.5060561277897432,-0.38338749188967103,-0.12811452781820865,0.03587227713105643,0.017288636047849592,0.02023998082944931,0.03524429990675523,0.04662133903128371,0.07805815828596857,0.10769496208911229,0.12082537931024535,0.13338677027200113
17Networks_13,0.04241160250897501,0.07228043631427628,0.09990520499774201,0.10466877338130581,0.10667289712556934,0.022630700158671965,-0.08983863465628915,-0.1346090756364279,-0.1722968245586682,-0.14438499960000234,-0.1428440547654242,-0.13087033133322862,-0.11003499310142725,-0.03958105355321207,-0.10150475357540391,0.07652066205710059,0.06768719813232475,0.08026343209136805,0.10552545014247211,0.10538467053348688,0.00681863410211677,-0.08461040806139318,-0.10755254947924368,-0.11939044599169585,-0.12689981831808284,-0.09382741171434895,-0.058122587037490014,-0.050744097343454815,0.031297933938005354,-0.05825942370959686,0.15571806246255301,0.15914637094428627,0.17945793588913048,0.1916467975931838,0.2572842318582293,0.1866698118117078,0.01772932827711723,-0.06533266953921399,-0.08036823965781137,-0.06719393467810499,-0.053213212516600994,-0.03694015559213122,-0.02822103216063673,0.01596446783411661,-0.029716025833434564
17Networks_14,0.2559854562541514,0.22033651778640764,0.02822082014584554,-0.18580905107697746,-0.11434480889861562,0.47616846563224385,0.44217643099242165,0.4479580086664849,0.4361618797844459,0.3125577646127094,0.26196463592384533,0.18856862164660584,0.1697191778868129,0.03707480732234689,0.09915654286153194,-0.15246595296732512,-0.2452239873187261,-0.414165689993269,-0.4004946566432432,-0.31694758821110103,-0.1128057231214579,-0.0925525918870005,-0.06102381378638109,-0.05510778002897619,-0.048824816053716184,-0.0031734158414001602,0.045294310464840414,0.04319471203151333,0.017773675527042673,0.014290282606545033,-0.27079193001684376,-0.34175445858418624,-0.4107078065563172,-0.42206996952060183,-0.35553823530667567,-0.12168717050991999,-0.017585454868654864,0.015002235797891266,0.04562513529762743,0.03073096789192055,0.03595835193893794,0.01925452614711434,0.020887943431674483,-0.13548096215719618,0.0004749482665864361
17Networks_15,-0.17841731000210698,-0.15328394616362714,-0.07644072762920226,0.038756920301918824,0.046686383405802424,-0.13528671564257472,-0.21767186591607043,-0.23298984824075844,-0.22106546734700344,-0.20004514320681363,-0.1656697967177314,-0.11969817325295688,-0.10807707649035742,-0.07652340633045701,-0.10808147647924214,-0.2351767316014881,-0.21942573978448382,-0.26901658447049037,-0.27423006560966307,-0.10191011269695852,-0.04926364567076155,-0.07778190379022236,-0.09488343904746696,-0.09341579699683873,-0.0007007115074413961,-0.06203026731637482,-0.07858363108319036,-0.033626115687374405,-0.08593083057978995,-0.12950196511109222,0.3430750668636401,0.3587636122473809,0.33737531695076506,0.1475827349799871,0.14716966850997842,0.022290762896406555,0.020732160401203927,-0.01639927305236742,0.006617810113808655,0.0665627812149936,0.138281230481337,0.16270590912451674,0.13609385892154127,0.13474477823024342,0.1166125909561455
17Networks_16,0.17896741987651066,0.17442487794729492,0.1941361597894145,0.2574893897255566,0.17893623845898762,-0.08857683586941141,-0.09639012379714416,-0.14436936868061412,-0.15877602221148177,-0.14837592290281476,-0.14412350781376113,-0.16485018401709217,-0.12022631276078409,-0.019681835975849833,0.02808687423149744,0.27596348170309565,0.30843050951218764,0.3538155827899507,0.4062346380025939,0.20614476508722465,-0.005080497403997466,-0.0749729508804604,-0.08490370812863678,-0.09464050097259182,-0.09585600372339484,-0.03664131788257617,-0.009937421394492212,0.008015390742321434,-0.01855008445949574,0.028474442720384803,0.25939520185827636,0.2891730828954248,0.3129103520779749,0.33991555930911194,0.3000488155606602,0.11683209823826579,-0.10272861130199083,-0.12499884167398949,-0.10071101644199736,-0.03895601025845427,0.04562781565423634,0.10699961385727272,0.14666903716667445,0.1591195273042875,0.1471542822543449
17Networks_17,0.04097321161027286,0.040546255560869555,0.056660900651948745,0.0762413170499305,0.04080780799830558,-0.009554926235387255,-0.06096355066837938,-0.046262616683394084,-0.03563429331073937,-0.04897968465386712,-0.0479050997549647,-0.022104595327310475,-0.02174564091779197,-0.00927614846333799,-0.02561672977606105,0.17796604733503243,0.21388697499166973,0.25180076173852045,0.25711851265439106,0.14875907856665138,0.07417160431940972,0.018075862291000507,-0.01360700823784992,-0.02786420304486805,-0.036564699437511554,-0.044330416806958914,-0.02896429539120908,0.005892140714471978,0.015117341386989587,0.03004310582197653,0.1348340733624801,0.13902293727157133,0.138280578176773,0.12606710574838154,0.07735436963327708,0.013752095156552048,-0.017903568779968137,-0.029534809001903247,-0.03388272339200476,-0.04805907798572455,-0.024038855339069683,-0.029193970135682975,-0.01718486301616156,0.014096687745806016,-0.0074436297134003754
17Networks_2,0.1386246335674572,-0.05576366046997827,-0.22294324071308766,-0.07603784045740258,0.002527656566880245,-0.16748213806342482,-0.23625417478002034,-0.2631741504308687,-0.23360666501322705,-0.18027626567795044,-0.15325469918136936,-0.13368389260842836,-0.04526405799862904,-0.0809233762947204,-0.10808147647924214,-0.3148727814308511,-0.3984065936840607,-0.4514692293099003,-0.4796093377979582,-0.3016278579731814,-0.22295990285224102,-0.2672008460333689,-0.2967362484963643,-0.27276332788772145,-0.21051150248235215,-0.18644339309276337,-0.14856343154042684,-0.12589575903481082,-0.12293944186260423,-0.1295019651110922,-0.3481725497899529,-0.33634648062970335,-0.1850165077152466,-0.08825389372099546,-0.023379533212296286,-0.18849090857899087,-0.2850157360111445,-0.24068541655470418,-0.20913991365482287,-0.12992357112749392,-0.07824403249847339,-0.043518703196106755,-0.01871936907582999,-0.004066332745508839,-0.03185009445954874
