,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,7,1,0,0,2,0,7,0,1,0,1,0,3,1,1,0,2
17Networks_10,0,0,0,1,4,0,2,0,0,0,0,1,9,0,0,1,5
17Networks_11,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
17Networks_12,2,1,0,2,5,1,1,4,19,0,0,5,6,2,0,3,7
17Networks_13,1,5,0,2,5,1,3,4,15,0,2,9,14,3,3,3,25
17Networks_14,0,0,1,2,5,12,0,2,4,0,0,17,6,1,2,0,7
17Networks_15,2,0,0,0,2,0,0,1,3,1,1,1,9,1,1,0,3
17Networks_16,1,0,0,3,8,3,1,0,12,0,1,1,4,2,0,0,7
17Networks_17,5,2,1,10,17,3,12,5,75,1,4,12,22,3,4,6,46
17Networks_2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
17Networks_3,1,1,0,2,6,2,1,0,5,0,0,0,2,1,0,0,4
17Networks_4,0,2,0,5,4,13,0,0,12,0,0,27,10,2,0,2,14
17Networks_5,0,0,0,2,1,0,2,0,2,0,0,3,3,1,0,3,6
17Networks_6,0,1,0,1,1,1,1,0,1,0,0,6,2,0,0,7,5
17Networks_7,0,0,0,5,2,4,1,0,10,0,0,3,6,1,2,4,5
17Networks_8,0,1,0,4,1,1,1,0,7,0,1,1,11,3,2,1,6
17Networks_9,6,1,0,7,10,4,4,3,29,0,1,10,20,2,0,1,48
