class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.0,0.4074786324786324,0.6268983162759987,0.009950248756218905,0.04228855721393035
17Networks_10,23,0.0,0.0,0.0,0.0,0.0,0.6834224598930483,1.0,1.0
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.2555031446540881,1.0,1.0
17Networks_12,58,0.0425531914893617,0.034482758620689655,0.0380952380952381,0.0,0.10529115341545349,0.5626149425287357,0.7313432835820896,1.0
17Networks_13,95,0.0684931506849315,0.05263157894736842,0.05952380952380952,0.0,0.11208679025149078,0.551064219064463,0.8905472636815921,1.0
17Networks_14,59,0.2608695652173913,0.2033898305084746,0.22857142857142856,0.0967741935483871,0.3246979764421625,0.6278162176429554,0.009950248756218905,0.04228855721393035
17Networks_15,25,0.0,0.0,0.0,0.0,0.0,0.6507609860664524,1.0,1.0
17Networks_16,43,0.0,0.0,0.0,0.0,0.0,0.44701995170923886,1.0,1.0
17Networks_17,228,0.38461538461538464,0.32894736842105265,0.3546099290780142,0.2064449617559029,0.4509179520840171,0.6049297043979812,0.03980099502487562,0.13532338308457711
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.5263525305410122,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.4010289389067524,1.0,1.0
17Networks_4,91,0.27835051546391754,0.2967032967032967,0.2872340425531915,0.159061004784689,0.437521404109589,0.7058760155645969,0.009950248756218905,0.04228855721393035
17Networks_5,23,0.0234375,0.13043478260869565,0.039735099337748346,0.0,0.3001086956521738,0.6460358056265985,0.07960199004975124,0.22553897180762852
17Networks_6,26,0.0,0.0,0.0,0.0,0.0,0.6118355893034005,1.0,1.0
17Networks_7,43,0.13333333333333333,0.046511627906976744,0.06896551724137931,0.0,0.11764705882352941,0.5149065955013343,0.3781094527363184,0.9182658137882018
17Networks_8,40,0.03125,0.025,0.027777777777777776,0.0,0.125,0.5200980392156862,0.7014925373134329,1.0
17Networks_9,146,0.25263157894736843,0.3287671232876712,0.2857142857142857,0.24601302785265047,0.4109697416334316,0.6536498751602672,0.004975124378109453,0.04228855721393035
