,17Networks_1,17Networks_10,17Networks_11,17Networks_12,17Networks_13,17Networks_14,17Networks_15,17Networks_16,17Networks_17,17Networks_2,17Networks_3,17Networks_4,17Networks_5,17Networks_6,17Networks_7,17Networks_8,17Networks_9
17Networks_1,13,1,0,0,0,1,3,0,1,2,0,1,1,0,0,2,1
17Networks_10,0,1,0,0,0,0,4,0,1,1,0,1,11,0,0,0,4
17Networks_11,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
17Networks_12,3,1,0,0,4,2,2,3,2,0,3,3,9,3,10,5,8
17Networks_13,2,9,0,3,6,0,3,9,15,2,3,3,10,2,2,2,24
17Networks_14,0,5,1,0,4,12,7,3,0,0,0,10,3,2,3,1,8
17Networks_15,2,2,0,0,0,0,6,1,1,0,1,0,4,1,0,0,7
17Networks_16,1,3,1,1,7,3,5,2,7,0,2,0,2,0,1,0,8
17Networks_17,3,11,3,5,9,2,12,9,59,3,15,9,25,3,8,8,44
17Networks_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
17Networks_3,1,2,0,0,6,0,3,0,4,0,0,0,4,2,0,0,3
17Networks_4,3,9,0,0,5,13,1,2,7,1,2,18,5,5,2,1,17
17Networks_5,0,0,0,0,3,0,4,0,0,0,0,2,3,3,1,4,3
17Networks_6,1,1,0,2,1,0,3,0,0,0,1,3,4,4,0,3,3
17Networks_7,1,0,0,0,7,2,4,0,4,0,1,3,6,4,3,2,6
17Networks_8,0,1,0,3,2,0,2,1,0,1,1,0,15,3,6,0,5
17Networks_9,10,2,0,1,5,1,6,11,19,1,6,5,14,2,1,1,61
