condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.0,0.0
audio,0,1.0,4.0,1-4Hz,1,ersp,2.057008830584863e-05,2.057008830584863e-05
audio,0,1.0,4.0,1-4Hz,2,ersp,3.845874992868062e-05,3.845874992868062e-05
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0006059040530011236,0.0006059040530011236
audio,0,1.0,4.0,1-4Hz,4,ersp,0.0005887421873889009,0.0005887421873889009
audio,0,1.0,4.0,1-4Hz,5,ersp,0.00016906111596993315,0.00016906111596993315
audio,0,1.0,4.0,1-4Hz,6,ersp,0.0005213065870628101,0.0005213065870628101
audio,0,1.0,4.0,1-4Hz,7,ersp,0.0001812779741540027,0.0001812779741540027
audio,0,1.0,4.0,1-4Hz,8,ersp,0.00012939368689485274,0.00012939368689485274
audio,0,1.0,4.0,1-4Hz,9,ersp,0.0004807543101010632,0.0004807543101010632
audio,0,1.0,4.0,1-4Hz,10,ersp,0.00012657194806538994,0.00012657194806538994
audio,0,1.0,4.0,1-4Hz,11,ersp,4.1155584570366554e-05,4.1155584570366554e-05
audio,0,1.0,4.0,1-4Hz,12,ersp,0.0003191729992360941,0.0003191729992360941
audio,0,1.0,4.0,1-4Hz,13,ersp,0.00017572719033298747,0.00017572719033298747
audio,0,1.0,4.0,1-4Hz,14,ersp,0.00022958047999448048,0.00022958047999448048
audio,0,1.0,4.0,1-4Hz,15,ersp,8.420216357200574e-05,8.420216357200574e-05
audio,0,1.0,4.0,1-4Hz,16,ersp,0.00020562342413918655,0.00020562342413918655
audio,0,1.0,4.0,1-4Hz,17,ersp,0.00047195115425838723,0.00047195115425838723
audio,0,1.0,4.0,1-4Hz,18,ersp,0.0002851617020341147,0.0002851617020341147
audio,0,1.0,4.0,1-4Hz,19,ersp,0.00020288001110402138,0.00020288001110402138
audio,0,1.0,4.0,1-4Hz,20,ersp,0.0003846524213270387,0.0003846524213270387
audio,0,1.0,4.0,1-4Hz,21,ersp,6.749282257801415e-05,6.749282257801415e-05
audio,0,1.0,4.0,1-4Hz,22,ersp,0.00021273933618936054,0.00021273933618936054
audio,0,1.0,4.0,1-4Hz,23,ersp,4.636460117780884e-05,4.636460117780884e-05
audio,0,1.0,4.0,1-4Hz,24,ersp,3.1429002541605144e-05,3.1429002541605144e-05
audio,0,1.0,4.0,1-4Hz,25,ersp,0.0001265597668562054,0.0001265597668562054
audio,0,1.0,4.0,1-4Hz,26,ersp,0.00016603196422663503,0.00016603196422663503
audio,0,1.0,4.0,1-4Hz,27,ersp,0.00014842102395586223,0.00014842102395586223
audio,0,1.0,4.0,1-4Hz,28,ersp,0.00011835887445627302,0.00011835887445627302
audio,0,1.0,4.0,1-4Hz,29,ersp,0.0002117470058245996,0.0002117470058245996
audio,0,1.0,4.0,1-4Hz,30,ersp,6.846017856613282e-05,6.846017856613282e-05
audio,0,1.0,4.0,1-4Hz,31,ersp,0.00010512640298354102,0.00010512640298354102
audio,0,1.0,4.0,1-4Hz,32,ersp,0.0002489592468176533,0.0002489592468176533
audio,0,1.0,4.0,1-4Hz,33,ersp,8.45865967519947e-05,8.45865967519947e-05
audio,0,1.0,4.0,1-4Hz,34,ersp,0.00015563127130204082,0.00015563127130204082
audio,0,1.0,4.0,1-4Hz,35,ersp,1.630738295187004e-05,1.630738295187004e-05
audio,0,1.0,4.0,1-4Hz,36,ersp,0.0003154301378696121,0.0003154301378696121
audio,0,1.0,4.0,1-4Hz,37,ersp,4.137007629890063e-05,4.137007629890063e-05
audio,0,1.0,4.0,1-4Hz,38,ersp,4.2221026849946645e-05,4.2221026849946645e-05
audio,0,1.0,4.0,1-4Hz,39,ersp,6.956794032878883e-05,6.956794032878883e-05
