condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,0,1.0,4.0,1-4Hz,0,ersp,0.0003298842077870066,0.0003298842077870066
audio,0,1.0,4.0,1-4Hz,1,ersp,0.0006539861349183896,0.0006539861349183896
audio,0,1.0,4.0,1-4Hz,2,ersp,0.0004836470338993121,0.0004836470338993121
audio,0,1.0,4.0,1-4Hz,3,ersp,0.0004769009516340999,0.0004769009516340999
audio,0,1.0,4.0,1-4Hz,4,ersp,0.0006745446954129075,0.0006745446954129075
audio,0,1.0,4.0,1-4Hz,5,ersp,0.0009934806145472097,0.0009934806145472097
audio,0,1.0,4.0,1-4Hz,6,ersp,0.0002911924549866922,0.0002911924549866922
audio,0,1.0,4.0,1-4Hz,7,ersp,0.0007604273014772003,0.0007604273014772003
audio,0,1.0,4.0,1-4Hz,8,ersp,0.0009286026358223821,0.0009286026358223821
audio,0,1.0,4.0,1-4Hz,9,ersp,0.0004858024104860066,0.0004858024104860066
audio,0,1.0,4.0,1-4Hz,10,ersp,0.0007570624786628335,0.0007570624786628335
audio,0,1.0,4.0,1-4Hz,11,ersp,0.0007018050232857298,0.0007018050232857298
audio,0,1.0,4.0,1-4Hz,12,ersp,0.0002719417497350929,0.0002719417497350929
audio,0,1.0,4.0,1-4Hz,13,ersp,0.0009568608120393157,0.0009568608120393157
audio,0,1.0,4.0,1-4Hz,14,ersp,0.0005159612021140003,0.0005159612021140003
audio,0,1.0,4.0,1-4Hz,15,ersp,0.000436562662740537,0.000436562662740537
audio,0,1.0,4.0,1-4Hz,16,ersp,0.0005711206590776173,0.0005711206590776173
audio,0,1.0,4.0,1-4Hz,17,ersp,0.0005260117208687212,0.0005260117208687212
audio,0,1.0,4.0,1-4Hz,18,ersp,0.0007075441558023339,0.0007075441558023339
audio,0,1.0,4.0,1-4Hz,19,ersp,0.0008681305439469828,0.0008681305439469828
audio,0,1.0,4.0,1-4Hz,20,ersp,0.00031596889731437175,0.00031596889731437175
audio,0,1.0,4.0,1-4Hz,21,ersp,0.0004642858300734954,0.0004642858300734954
audio,0,1.0,4.0,1-4Hz,22,ersp,0.0005262140071855859,0.0005262140071855859
audio,0,1.0,4.0,1-4Hz,23,ersp,0.0004554339367834635,0.0004554339367834635
audio,0,1.0,4.0,1-4Hz,24,ersp,0.00046140252133600445,0.00046140252133600445
audio,0,1.0,4.0,1-4Hz,25,ersp,0.00053826194895733,0.00053826194895733
audio,0,1.0,4.0,1-4Hz,26,ersp,0.0006446289683954237,0.0006446289683954237
audio,0,1.0,4.0,1-4Hz,27,ersp,0.0005813342631227086,0.0005813342631227086
