condition,band_idx,band_lo,band_hi,band,time_bin,kind,coef[7Networks_1],coef[7Networks_2],coef[7Networks_3],coef[7Networks_4],coef[7Networks_5],coef[7Networks_6],coef[7Networks_7],importance
audio,-1,70.0,150.0,HG 70-150Hz,0,hg,0.08752159366100183,-0.10002355988193326,0.15960779020581234,0.04890663383326263,-0.26584501284991413,-0.03504589570795397,0.10487845073972533,0.1145469909828005
audio,-1,70.0,150.0,HG 70-150Hz,1,hg,0.011539009778527391,0.013203109890611308,0.06704968862707861,-0.037093708486050286,0.11425678215404099,-0.08676462153746597,-0.08219026042674149,0.058871025842930864
audio,-1,70.0,150.0,HG 70-150Hz,2,hg,-0.10724027378844186,0.1366419944338529,-0.008571083527663384,-0.07964057623641844,0.07705344916894304,-0.03429316840530077,0.016049658355028983,0.06564145770223563
audio,-1,70.0,150.0,HG 70-150Hz,3,hg,-0.054025367771887184,-0.05532949084066226,0.03679554477607077,0.045506234922090015,0.024373513871220467,-0.08612074185349738,0.08880030689666583,0.0558501715617277
audio,-1,70.0,150.0,HG 70-150Hz,4,hg,0.19156301565669448,-0.11333191346668717,0.08211746822476254,0.043767729625566396,-0.17559129379154345,0.13068809128383288,-0.15921309753262733,0.12803894422595918
audio,-1,70.0,150.0,HG 70-150Hz,5,hg,0.16216368414998183,-0.043950774212693805,-0.11764043524321982,0.16262035166678934,-0.12372998128559352,-0.06829748044693876,0.02883463537167456,0.10103390605384166
audio,-1,70.0,150.0,HG 70-150Hz,6,hg,0.03325071942221209,0.04311507524738399,-0.006565859863858217,-0.016089793551355463,0.03605010844901592,-0.10227387269258209,0.0125136229891833,0.03569415031651301
audio,-1,70.0,150.0,HG 70-150Hz,7,hg,-0.10837177175325773,0.11345774955965594,0.02961090328304388,0.015718715623921922,-0.016197408724606732,0.00963864766869588,-0.04385683565745318,0.048121718895805035
audio,-1,70.0,150.0,HG 70-150Hz,8,hg,-0.09147025689360612,0.14987499119055717,-0.03786037979863523,-0.14500001766133502,0.10029101461240823,0.035861038605412454,-0.011696390054800486,0.08172201268810782
audio,-1,70.0,150.0,HG 70-150Hz,9,hg,-0.10326313484598945,0.06079809303484107,-0.08529297693752681,-0.06909923150356526,0.13934106451040776,0.09556878688044725,-0.038052601138613106,0.08448798412162724
audio,-1,70.0,150.0,HG 70-150Hz,10,hg,-0.026362181253179594,0.10928630144918107,-0.11134687563082589,0.07835731987758138,-0.0022522672793117886,0.03013612983862486,-0.07781842700206898,0.062222786047253356
audio,-1,70.0,150.0,HG 70-150Hz,11,hg,0.02862425516544476,0.19955055982437087,-0.1251906488706564,-0.03589088676243567,-0.14604709373743868,0.07446003201702968,0.0044937823636841245,0.0877510369630086
audio,-1,70.0,150.0,HG 70-150Hz,12,hg,0.07234033516766714,0.1060263345909447,-0.07878150780806492,-0.0034033824634962856,-0.09437355285852701,-0.0061480024111385595,0.004339775782614157,0.05220184158320753
audio,-1,70.0,150.0,HG 70-150Hz,13,hg,0.05240115451004892,0.06691706005001026,0.033594908868785404,-0.05337618241947376,-0.10057053461547716,-0.04156928425094062,0.042602877857047715,0.055861714653111974
audio,-1,70.0,150.0,HG 70-150Hz,14,hg,0.0669733868016625,0.07270686439841903,0.14968540591773125,-0.029532290461064772,-0.08440938251413184,-0.1672116622412041,-0.008212321901411286,0.0826759020336607
audio,-1,70.0,150.0,HG 70-150Hz,15,hg,0.10673625626633007,-0.01583475365540279,0.14825203866152872,-0.07106613873145984,-0.06004894319365997,-0.16099038983109779,0.052951930483761324,0.08798292154617722
audio,-1,70.0,150.0,HG 70-150Hz,16,hg,0.04522871447372807,0.0669039477312308,0.16574082850011165,-0.13189289126716539,-0.10797204091372062,-0.06261745215129214,0.02460889362710828,0.08642353838062242
audio,-1,70.0,150.0,HG 70-150Hz,17,hg,0.02634352553110567,0.033210911082131464,0.05388569813727117,0.07343871383249309,-0.031144910172721325,-0.042885964440775096,-0.11284797396950512,0.05339395673800042
audio,-1,70.0,150.0,HG 70-150Hz,18,hg,0.026251491388320704,-0.0011485794710366735,0.03906543349059673,0.12130199881371119,-0.020325406366656557,-0.10297067849963572,-0.062174259355299584,0.05331969248360817
audio,-1,70.0,150.0,HG 70-150Hz,19,hg,0.06694091209919494,-0.04340237230544954,-0.03686186178505544,-0.08854905360197843,-0.02514852415724195,-0.030805682937831137,0.1578265826883616,0.06421928422501615
audio,-1,70.0,150.0,HG 70-150Hz,20,hg,0.04084574268820835,-0.009362963008144199,-0.07670068963275366,-0.1368004316007983,-0.02664342935809308,0.060917334400342284,0.14774443651124053,0.07128786102851149
audio,-1,70.0,150.0,HG 70-150Hz,21,hg,-0.030166366678731807,0.06322668849813748,-0.06639809813497292,-0.05839114137634095,0.12207753363333472,-0.020095289276138247,-0.010253326665288633,0.052944063466134964
audio,-1,70.0,150.0,HG 70-150Hz,22,hg,-0.07564250647935408,0.08727113788126016,-0.08296156581378127,-0.03695099408676301,0.11305777245671628,-0.03415015829856264,0.029376314340484842,0.06563006419384604
audio,-1,70.0,150.0,HG 70-150Hz,23,hg,-0.05800697294476317,0.0529586293933843,-0.021914404251966793,0.04341210626895925,0.03271852221194945,-0.05844254880289556,0.009274668125332028,0.03953255028560722
audio,-1,70.0,150.0,HG 70-150Hz,24,hg,0.03665242823727245,0.10647357534991567,-0.029227623496829367,-0.07614699379243103,-0.03460697785288192,-0.04727687176325318,0.04413246331820737,0.05350241911582728
audio,-1,70.0,150.0,HG 70-150Hz,25,hg,0.024075017155318495,0.0702704011060874,0.03097869686482798,-0.08784374104245286,-0.10403240436459497,0.05633855075505604,0.010213479525757152,0.05482175583058498
audio,-1,70.0,150.0,HG 70-150Hz,26,hg,-0.06240058462841277,-0.0022757885690434243,0.0553199222535199,0.03942066028034322,-0.10226665481991949,0.03867409761383933,0.03352834786967331,0.04769800800496449
audio,-1,70.0,150.0,HG 70-150Hz,27,hg,-0.042855103035084954,-0.06272150044611768,0.057041243770683134,0.02121937208625024,0.06536999819095854,-0.02819700731767031,-0.009857003249019738,0.041037318299397794
audio,-1,70.0,150.0,HG 70-150Hz,28,hg,0.01898035208626934,0.12046128711212516,0.01798966644397682,-0.015806896722136192,-0.18847472777398622,0.03035906190422595,0.0164912569495247,0.05836617842746348
audio,-1,70.0,150.0,HG 70-150Hz,29,hg,0.027283109315205487,0.13794178092217857,-0.15550168101832887,0.17404158929659094,-0.12085113577951914,-0.07031191948476873,0.0073982567486440606,0.0990470675093194
audio,-1,70.0,150.0,HG 70-150Hz,30,hg,0.05605790760181645,0.20474268825809375,-0.1275771172503404,0.0951763914253168,-0.2025369157869343,0.0410061275489497,-0.0668690817969027,0.11342374709547916
audio,-1,70.0,150.0,HG 70-150Hz,31,hg,-0.007895595475418625,0.14312679532050426,-0.1632598863139652,-0.038720315177884185,0.024663869057152253,0.022620049565520127,0.019465083024092594,0.05996451341921961
audio,-1,70.0,150.0,HG 70-150Hz,32,hg,-0.05406323832522825,0.08113745184562458,0.008109310126992226,-0.06601088539821806,0.1128662060325349,-0.021505326236417783,-0.06053351804528851,0.05774656228718633
audio,-1,70.0,150.0,HG 70-150Hz,33,hg,-0.02310233260662042,0.17053276995553368,0.05474558682997756,0.0244781320833701,0.09727133497042921,-0.07593444441179671,-0.247991046820894,0.09915080681123167
audio,-1,70.0,150.0,HG 70-150Hz,34,hg,-0.04815243033713673,0.21767516056995997,-0.010052836510994792,-0.0248632830327349,0.04199187632866919,-0.011914647463251587,-0.16468383955451163,0.07419058197103698
audio,-1,70.0,150.0,HG 70-150Hz,35,hg,-0.01308780061515142,0.009297894164672112,0.11914212175569859,-0.038850675725880496,-0.07837725326280344,-0.051646608104506816,0.053522321787971956,0.05198923934524069
audio,-1,70.0,150.0,HG 70-150Hz,36,hg,-0.06478855815335728,-0.07290724274894804,0.11907933038237403,0.01799455164591516,-0.12552857386575758,0.08382571287756023,0.042324779862213335,0.07520696421944652
audio,-1,70.0,150.0,HG 70-150Hz,37,hg,-0.052592985992744,-0.0390398311549027,-0.0446619528245989,-0.040235335124705125,-0.05459638861364947,0.1531211368837746,0.07800535682682663,0.06603614106017162
audio,-1,70.0,150.0,HG 70-150Hz,38,hg,-0.12781089071407567,0.009580573486241856,-0.14668188686528988,0.05501003271645906,-0.0015833314554877834,0.1421182443509572,0.06936725848119515,0.07887888829567237
audio,-1,70.0,150.0,HG 70-150Hz,39,hg,-0.12549408657532823,0.10280635547735475,-0.06364934589713139,0.02148339536519862,0.02746640438795426,0.07470535580954193,-0.03731807856758948,0.06470328886858553
audio,-1,70.0,150.0,HG 70-150Hz,40,hg,-0.0665758074422051,0.05064172623214581,0.01643076089991886,0.03360879478010756,-0.004689346689211396,-0.0359602108194151,0.006544083038659772,0.030635818557380512
audio,-1,70.0,150.0,HG 70-150Hz,41,hg,0.039303189496259154,0.1105156761634561,-0.06667518952879922,0.09445522846729112,-0.07891554359626167,0.06008249535215131,-0.1587658563540968,0.08695902556547362
