gyrus,n_in,pct_in,pct_all,enrich
middletemporal,249,23.896353166986565,13.577912254160363,1.7599431134683141
unknown,98,9.404990403071018,11.875945537065052,0.7919361345770628
superiortemporal,98,9.404990403071018,4.652042360060514,2.021690619977217
inferiortemporal,74,7.1017274472168905,8.925869894099849,0.7956342106119263
fusiform,42,4.030710172744722,3.97125567322239,1.0149712092130518
superiorfrontal,41,3.934740882917467,4.1981845688350985,0.9372481886877281
caudalmiddlefrontal,39,3.742802303262956,2.26928895612708,1.6493282149712092
precentral,38,3.6468330134357005,2.798789712556732,1.303003579395134
bankssts,37,3.5508637236084453,1.399394856278366,2.53742802303263
parahippocampal,34,3.262955854126679,3.1013615733736764,1.0521043022330414
parstriangularis,34,3.262955854126679,2.4205748865355523,1.3480086372360842
supramarginal,34,3.262955854126679,3.517397881996974,0.9276618578828968
