condition,zone,window_shape,sign,n_contacts
audio,articulation,boxcar,-1,74
audio,articulation,boxcar,1,765
audio,articulation,gaussian,-1,83
audio,articulation,gaussian,1,749
audio,perception,boxcar,-1,10
audio,perception,boxcar,1,449
audio,perception,gaussian,-1,10
audio,perception,gaussian,1,452
audio,pre_articulation,boxcar,-1,192
audio,pre_articulation,boxcar,1,420
audio,pre_articulation,gaussian,-1,191
audio,pre_articulation,gaussian,1,419
audio,reading,boxcar,-1,132
audio,reading,boxcar,1,333
audio,reading,gaussian,-1,115
audio,reading,gaussian,1,343
picture,articulation,boxcar,-1,22
picture,articulation,boxcar,1,798
picture,articulation,gaussian,-1,23
picture,articulation,gaussian,1,785
picture,perception,boxcar,1,221
picture,perception,gaussian,1,229
picture,pre_articulation,boxcar,-1,46
picture,pre_articulation,boxcar,1,293
picture,pre_articulation,gaussian,-1,47
picture,pre_articulation,gaussian,1,291
picture,reading,boxcar,-1,16
picture,reading,boxcar,1,329
picture,reading,gaussian,-1,15
picture,reading,gaussian,1,291
reading,articulation,boxcar,-1,108
reading,articulation,boxcar,1,755
reading,articulation,gaussian,-1,122
reading,articulation,gaussian,1,719
reading,perception,boxcar,-1,3
reading,perception,boxcar,1,500
reading,perception,gaussian,-1,3
reading,perception,gaussian,1,511
reading,pre_articulation,boxcar,-1,259
reading,pre_articulation,boxcar,1,319
reading,pre_articulation,gaussian,-1,259
reading,pre_articulation,gaussian,1,313
reading,reading,boxcar,-1,181
reading,reading,boxcar,1,457
reading,reading,gaussian,-1,160
reading,reading,gaussian,1,444
