role,condition,n,onset_pct,onset_stim_pct,onset_resp_pct,peak_pct,peak_db
NN,audio,30,4.833333333333333,4.833333333333333,50.166666666666664,40.83333333333333,-1.9679648876190186
NN,picture,30,0.16666666666666666,0.16666666666666666,50.166666666666664,57.83333333333333,-1.9133487939834595
NN,reading,30,1.5,1.5,50.166666666666664,45.83333333333333,-2.1785125732421875
auditory,audio,144,2.1666666666666665,2.1666666666666665,62.166666666666664,3.833333333333333,2.292440176010132
auditory,picture,144,62.83333333333333,,62.83333333333333,75.16666666666667,1.196703314781189
auditory,reading,144,68.16666666666667,,68.16666666666667,84.16666666666667,1.0892850160598755
auditory_v2,audio,25,2.1666666666666665,2.1666666666666665,64.16666666666667,4.166666666666667,3.7552666664123535
auditory_v2,picture,25,54.166666666666664,,54.166666666666664,82.83333333333333,1.6284568309783936
auditory_v2,reading,25,71.5,,71.5,87.16666666666667,1.338981032371521
deactivation,audio,1,1.8333333333333333,1.8333333333333333,50.166666666666664,41.166666666666664,-4.1072869300842285
deactivation,picture,1,0.16666666666666666,0.16666666666666666,50.166666666666664,57.83333333333333,-4.132791996002197
deactivation,reading,1,0.16666666666666666,0.16666666666666666,50.166666666666664,47.166666666666664,-3.9296138286590576
heteromodal_convergence,audio,1,0.5,0.5,50.166666666666664,4.5,7.673977851867676
heteromodal_convergence,picture,1,0.16666666666666666,0.16666666666666666,50.166666666666664,21.166666666666668,9.083821296691895
heteromodal_convergence,reading,1,0.16666666666666666,0.16666666666666666,50.166666666666664,4.5,8.7059326171875
lexical_semantic,audio,1,0.5,0.5,50.166666666666664,4.5,7.673977851867676
lexical_semantic,picture,1,0.16666666666666666,0.16666666666666666,50.166666666666664,21.166666666666668,9.083821296691895
lexical_semantic,reading,1,0.16666666666666666,0.16666666666666666,50.166666666666664,4.5,8.7059326171875
maintenance,audio,1,0.5,0.5,50.166666666666664,4.5,7.673977851867676
maintenance,picture,1,0.16666666666666666,0.16666666666666666,50.166666666666664,21.166666666666668,9.083821296691895
maintenance,reading,1,0.16666666666666666,0.16666666666666666,50.166666666666664,4.5,8.7059326171875
motor,audio,24,22.166666666666668,22.166666666666668,54.83333333333333,68.5,2.9883689880371094
motor,picture,24,56.166666666666664,,56.166666666666664,72.5,3.3451955318450928
motor,reading,24,2.4999999999999996,2.4999999999999996,60.166666666666664,75.5,3.570244550704956
motor_v2,audio,22,2.833333333333333,2.833333333333333,52.166666666666664,73.5,1.4877610206604004
motor_v2,picture,22,54.166666666666664,,54.166666666666664,69.16666666666667,1.8611737489700317
motor_v2,reading,22,58.49999999999999,,58.49999999999999,70.5,1.8149818181991577
nan,audio,1574,,,,41.83333333333333,-0.32245302200317383
nan,picture,1574,,,,76.16666666666667,0.41857871413230896
nan,reading,1574,,,,77.5,0.4437079429626465
phonological_encoding,audio,6,1.8333333333333333,1.8333333333333333,51.49999999999999,63.166666666666664,3.549804449081421
phonological_encoding,picture,6,4.5,4.5,50.166666666666664,61.49999999999999,3.8700687885284424
phonological_encoding,reading,6,1.1666666666666667,1.1666666666666667,50.166666666666664,2.4999999999999996,4.446308612823486
pic_stim,audio,12,52.49999999999999,,52.49999999999999,52.49999999999999,-0.5176922678947449
pic_stim,picture,12,6.166666666666667,6.166666666666667,56.49999999999999,11.166666666666666,2.405595064163208
pic_stim,reading,12,1.8333333333333333,1.8333333333333333,,2.4999999999999996,1.7694863080978394
picture_stim,audio,9,52.166666666666664,,52.166666666666664,52.49999999999999,-0.6048306226730347
picture_stim,picture,9,5.833333333333333,5.833333333333333,56.83333333333333,9.166666666666666,2.6087684631347656
picture_stim,reading,9,1.5,1.5,,2.4999999999999996,2.112513780593872
premotor planning,audio,50,32.49999999999999,32.49999999999999,50.166666666666664,56.49999999999999,0.8471968770027161
premotor planning,picture,50,11.166666666666666,11.166666666666666,50.166666666666664,27.5,0.834550678730011
premotor planning,reading,50,7.833333333333333,7.833333333333333,50.166666666666664,36.83333333333333,0.8003131747245789
response_active,audio,110,2.4999999999999996,2.4999999999999996,55.166666666666664,66.5,1.9826505184173584
response_active,picture,110,56.49999999999999,,56.49999999999999,71.83333333333333,2.5516839027404785
response_active,reading,110,2.1666666666666665,2.1666666666666665,60.166666666666664,76.16666666666667,2.5541369915008545
stimulus_active,audio,54,1.8333333333333333,1.8333333333333333,55.166666666666664,4.166666666666667,2.4632411003112793
stimulus_active,picture,54,5.166666666666667,5.166666666666667,50.166666666666664,26.5,1.738525629043579
stimulus_active,reading,54,1.5,1.5,61.83333333333333,2.1666666666666665,1.361830711364746
tag_beta_erd,audio,390,3.833333333333333,3.833333333333333,74.5,76.83333333333333,0.5316897630691528
tag_beta_erd,picture,390,62.83333333333333,,62.83333333333333,72.5,0.6524189710617065
tag_beta_erd,reading,390,78.83333333333333,,78.83333333333333,80.16666666666667,0.518900454044342
tag_hga_activation,audio,145,2.833333333333333,2.833333333333333,55.49999999999999,66.83333333333333,1.6250330209732056
tag_hga_activation,picture,145,8.166666666666666,8.166666666666666,56.49999999999999,72.16666666666667,2.0479202270507812
tag_hga_activation,reading,145,2.1666666666666665,2.1666666666666665,60.83333333333333,76.16666666666667,2.0642852783203125
tag_low_f_erd,audio,562,,,,71.83333333333333,0.40550580620765686
