group,feature,condition,n_electrodes,n_groups,kruskal_H,kruskal_p,median_spread_s,perm_p_within_patient
kmeans_concat_hg,peak_lat,audio,1209,6,184.88803242437277,4.833742421292008e-38,2.860000000000003,0.001996007984031936
kmeans_concat_hg,peak_lat,picture,1170,6,88.50859159913541,1.3820889739357794e-17,0.7000000000000004,0.01996007984031936
kmeans_concat_hg,peak_lat,reading,1247,6,211.07858288758763,1.2092355659596028e-43,1.840000000000002,0.37325349301397204
kmeans_concat_hg,onset_lat,audio,580,6,118.87043039275123,5.444490787028605e-24,1.0900000000000007,0.003992015968063872
kmeans_concat_hg,onset_lat,picture,643,6,111.14188497782882,2.350449041179205e-22,0.6200000000000006,0.021956087824351298
kmeans_concat_hg,onset_lat,reading,655,6,160.85201395614575,6.515712895197072e-33,1.8800000000000017,0.13373253493013973
hier_concat_hg,peak_lat,audio,1209,4,156.61398979448546,9.858401505792452e-34,2.9600000000000026,0.001996007984031936
hier_concat_hg,peak_lat,picture,1170,4,65.2662654918417,4.399492341818617e-14,0.6000000000000005,0.001996007984031936
hier_concat_hg,peak_lat,reading,1247,4,215.39514254625522,1.98655003343447e-46,1.8800000000000017,0.005988023952095809
hier_concat_hg,onset_lat,audio,580,4,36.89595852186138,4.8406047131210144e-08,0.8600000000000005,0.001996007984031936
hier_concat_hg,onset_lat,picture,643,4,70.21678791634261,3.835630938258366e-15,0.5800000000000005,0.001996007984031936
hier_concat_hg,onset_lat,reading,655,4,105.02034578355504,1.2935293368904662e-22,2.0800000000000014,0.003992015968063872
cnmf_lead,peak_lat,audio,1209,7,237.23158618906092,2.1897422473394497e-48,2.720000000000002,0.001996007984031936
cnmf_lead,peak_lat,picture,1170,7,120.16258623020511,1.5063599919884375e-23,1.9600000000000022,0.007984031936127744
cnmf_lead,peak_lat,reading,1247,7,182.96847468095413,7.944320510113772e-37,2.2600000000000016,0.001996007984031936
cnmf_lead,onset_lat,audio,580,7,122.99013724738553,3.835338659381135e-24,1.120000000000001,0.001996007984031936
cnmf_lead,onset_lat,picture,643,7,104.38064244493421,3.0536565631308875e-20,0.6900000000000006,0.001996007984031936
cnmf_lead,onset_lat,reading,655,7,120.88472299548035,1.0622744984395496e-23,2.1800000000000015,0.06986027944111776
role,peak_lat,audio,2495,17,182.35509427927897,2.8389165291602152e-30,3.540000000000003,0.017964071856287425
role,peak_lat,picture,2421,17,97.13764426119914,1.188024828251024e-13,3.120000000000003,0.8143712574850299
role,peak_lat,reading,2664,18,83.09427943755361,1.0764900206809226e-10,2.980000000000002,0.29141716566866266
role,onset_lat,audio,640,15,159.39313990242744,9.39833720398005e-27,0.7800000000000007,0.18163672654690619
role,onset_lat,picture,786,17,96.6152115133131,1.4867950169325456e-13,1.8300000000000014,0.15169660678642716
role,onset_lat,reading,767,15,95.80906903744943,2.998891545091476e-14,0.7200000000000006,0.9481037924151696
