component,condition,feature,n,spearman_rho,p
w0,audio,peak_lat,1209,0.1009948552581251,0.00043641618234185447
w0,picture,peak_lat,1170,-0.024805595548670095,0.39660205573586954
w0,reading,peak_lat,1247,0.12158164391630048,1.6693077818826257e-05
w1,audio,peak_lat,1209,0.24926773123070703,1.399340131353123e-18
w1,picture,peak_lat,1170,0.06067516388267215,0.03797693729925746
w1,reading,peak_lat,1247,0.09299078542192855,0.0010104327753067154
w2,audio,peak_lat,1209,-0.22899485859663973,7.54111305941803e-16
w2,picture,peak_lat,1170,-0.07244226701149363,0.013193052611814889
w2,reading,peak_lat,1247,-0.0586619126763836,0.038337509189267184
w3,audio,peak_lat,1209,0.05158012890304472,0.07300262270836892
w3,picture,peak_lat,1170,0.10551068469535528,0.00030004828997295464
w3,reading,peak_lat,1247,0.0697823074951227,0.01371094488189858
w4,audio,peak_lat,1209,0.25067663358838677,8.843374942154885e-19
w4,picture,peak_lat,1170,0.19781674451410772,8.688445746316903e-12
w4,reading,peak_lat,1247,0.30068630378140626,1.7925980354290023e-27
w5,audio,peak_lat,1209,-0.22421101860627649,3.05726836221346e-15
w5,picture,peak_lat,1170,-0.17372280266862575,2.2120243709791504e-09
w5,reading,peak_lat,1247,-0.24737471131552086,7.658154594042219e-19
w6,audio,peak_lat,1209,-0.24337215179299462,9.256840681230087e-18
w6,picture,peak_lat,1170,-0.24560718862548958,1.55529571672103e-17
w6,reading,peak_lat,1247,-0.25563512904839236,4.688214596823072e-20
w0,audio,onset_lat,580,0.06152900812618309,0.13886776841885276
w0,picture,onset_lat,643,0.0015732994250349246,0.9682388218715337
w0,reading,onset_lat,655,0.07921670635006868,0.04269270048431581
w1,audio,onset_lat,580,0.3570720173901913,6.985550284777795e-19
w1,picture,onset_lat,643,0.1167417117894927,0.003030231915367937
w1,reading,onset_lat,655,0.17537644473954903,6.335637289020296e-06
w2,audio,onset_lat,580,-0.26975955937802343,3.961812755563882e-11
w2,picture,onset_lat,643,-0.27884869654439387,6.00208293842571e-13
w2,reading,onset_lat,655,-0.15105763440101438,0.00010406210535362834
w3,audio,onset_lat,580,0.10441624603857302,0.011865060673427241
w3,picture,onset_lat,643,0.1407253389267057,0.0003444916202804634
w3,reading,onset_lat,655,-0.020331271119149095,0.6034836642998073
w4,audio,onset_lat,580,0.21731974082029648,1.251828150816938e-07
w4,picture,onset_lat,643,0.36945513325445123,3.1561373824232827e-22
w4,reading,onset_lat,655,0.5336061704701902,1.7733947282882285e-49
w5,audio,onset_lat,580,-0.12204664000265233,0.0032405886108445507
w5,picture,onset_lat,643,0.13523574673766275,0.0005852315813906872
w5,reading,onset_lat,655,-0.07170177048163676,0.06666632290832956
w6,audio,onset_lat,580,-0.20692152683033288,4.979891808280978e-07
w6,picture,onset_lat,643,-0.367523165632038,5.379041490346897e-22
w6,reading,onset_lat,655,-0.24791459150830142,1.2474024352673715e-10
